experiment;day;individual;mm2;condition;feedingreg;reltime
200d_starved;1;1;2,047575962;1;starving;1
200d_starved;1;2;3,088420239;1;starving;1
200d_starved;1;3;1,530025847;1;starving;1
200d_starved;1;4;1,382439075;1;starving;1
200d_starved;1;5;0,082409452;1;starving;1
200d_starved;1;6;0,502076364;1;starving;1
200d_starved;1;7;1,206835434;1;starving;1
200d_starved;1;8;0,108199039;1;starving;1
200d_starved;1;9;0,15297914;1;starving;1
200d_starved;1;10;0,985044988;1;starving;1
200d_starved;1;11;0,719881146;1;starving;1
200d_starved;1;12;3,087482435;1;starving;1
200d_starved;1;13;1,204842603;1;starving;1
200d_starved;1;14;0,841912782;1;starving;1
200d_starved;1;15;2,043941975;1;starving;1
200d_starved;1;16;1,321599095;1;starving;1
200d_starved;1;17;1,063468777;1;starving;1
200d_starved;1;18;2,001858059;1;starving;1
200d_starved;1;19;0,789161355;1;starving;1
200d_starved;1;20;1,428508655;1;starving;1
200d_starved;1;21;1,160648629;1;starving;1
200d_starved;1;22;1,736225315;1;starving;1
200d_starved;1;23;1,692500243;1;starving;1
200d_starved;1;24;0,011253638;1;starving;1
200d_starved;1;25;1,14458875;1;starving;1
200d_starved;1;26;1,044361038;1;starving;1
200d_starved;1;27;1,252905014;1;starving;1
200d_starved;1;28;0,961365459;1;starving;1
200d_starved;1;29;2,191411521;1;starving;1
200d_starved;1;30;0,808503545;1;starving;1
200d_starved;1;31;0,707455255;1;starving;1
200d_starved;1;32;1,769986229;1;starving;1
200d_starved;1;33;2,074303352;1;starving;1
200d_starved;1;34;1,399788433;1;starving;1
200d_starved;1;35;0,08756737;1;starving;1
200d_starved;1;36;1,837273605;1;starving;1
200d_starved;1;37;0,988444525;1;starving;1
200d_starved;1;38;1,272012754;1;starving;1
200d_starved;1;39;1,487121352;1;starving;1
200d_starved;1;40;1,614779807;1;starving;1
200d_starved;1;41;0,820460535;1;starving;1
200d_starved;1;42;2,559264809;1;starving;1
200d_starved;1;43;1,398967856;1;starving;1
200d_starved;1;44;1,264627554;1;starving;1
200d_starved;1;45;1,343754695;1;starving;1
200d_starved;1;46;0,181816587;1;starving;1
200d_starved;1;47;1,009779547;1;starving;1
200d_starved;1;48;0,775445983;1;starving;1
200d_starved;1;49;0,958552049;1;starving;1
200d_starved;1;50;1,182452552;1;starving;1
200d_starved;1;51;1,80151986;1;starving;1
200d_starved;1;52;1,599188829;1;starving;1
200d_starved;1;53;1,641624422;1;starving;1
200d_starved;1;54;2,059532953;1;starving;1
200d_starved;1;55;1,517365504;1;starving;1
200d_starved;1;56;1,578791611;1;starving;1
200d_starved;1;57;1,031114568;1;starving;1
200d_starved;1;58;0,111715801;1;starving;1
200d_starved;5;1;1,200739714;1;starving;5
200d_starved;5;2;2,376862095;1;starving;5
200d_starved;5;3;2,242639019;1;starving;5
200d_starved;5;4;1,755801956;1;starving;5
200d_starved;5;5;2,470173509;1;starving;5
200d_starved;5;6;2,861706326;1;starving;5
200d_starved;5;7;2,479903217;1;starving;5
200d_starved;5;8;2,33958442;1;starving;5
200d_starved;5;9;2,898749551;1;starving;5
200d_starved;5;10;2,399252145;1;starving;5
200d_starved;5;11;2,242873469;1;starving;5
200d_starved;5;12;1,901747572;1;starving;5
200d_starved;5;14;1,411628198;1;starving;5
200d_starved;5;15;2,31742882;1;starving;5
200d_starved;5;16;1,763538832;1;starving;5
200d_starved;5;17;2,338177715;1;starving;5
200d_starved;5;18;2,287301894;1;starving;5
200d_starved;5;19;1,259469636;1;starving;5
200d_starved;5;20;1,43577663;1;starving;5
200d_starved;5;21;1,371419888;1;starving;5
200d_starved;5;22;1,646665114;1;starving;5
200d_starved;5;23;2,008422681;1;starving;5
200d_starved;5;24;1,186555441;1;starving;5
200d_starved;5;25;2,215442727;1;starving;5
200d_starved;5;26;0,983286607;1;starving;5
200d_starved;5;27;1,128528871;1;starving;5
200d_starved;5;28;1,322888575;1;starving;5
200d_starved;5;29;1,578322709;1;starving;5
200d_starved;5;30;1,874785731;1;starving;5
200d_starved;5;31;1,802809339;1;starving;5
200d_starved;5;32;2,041128566;1;starving;5
200d_starved;5;33;1,232742247;1;starving;5
200d_starved;5;34;0,772398123;1;starving;5
200d_starved;5;35;1,290768817;1;starving;5
200d_starved;5;36;1,511152558;1;starving;5
200d_starved;5;37;1,284555871;1;starving;5
200d_starved;5;38;2,312036452;1;starving;5
