experiment;individual;day;mm2;cellsizemedian;cellnumber;G1;S;G2M
shrinkage_new;S_1_01;1;6,231;56414;1215532;90,2;3,51;6,24
shrinkage_new;S_1_02;1;4,763;56758;1142937;88,8;4,27;6,91
shrinkage_new;S_1_03;1;3,453;58221;679384;86;6,28;7,71
shrinkage_new;S_1_04;1;3,897;59856;1839355;84,5;6,75;8,66
shrinkage_new;S_1_05;1;3,288;53144;1401303;88,5;4,14;7,36
shrinkage_new;S_1_06;1;3,681;49702;1279207;89,1;4,15;6,71
shrinkage_new;S_1_07;1;4,476;52886;1004967;90,6;3,23;6,19
shrinkage_new;S_1_08;1;5,348;59425;1365588;88,9;4,11;6,96
shrinkage_new;S_1_09;1;8,027;60888;2691014;90,8;3,77;5,41
shrinkage_new;S_1_10;1;5,046;60544;1370024;87,3;5,57;7,08
shrinkage_new;S_1_11;1;4,367;58909;2169850;86,8;5,66;7,52
shrinkage_new;S_1_12;1;3,006;60372;1990500;87,2;4,91;7,85
shrinkage_new;S_1_13;1;4,030;53488;1331644;90,9;3,44;5,67
shrinkage_new;S_1_14;1;2,023;53660;2708628;84,4;6,36;9,21
shrinkage_new;S_1_15;1;2,586;57963;2609957;86,9;5,67;7,39
shrinkage_new;S_1_16;1;5,211;52370;1443166;86,4;5,07;8,47
shrinkage_new;S_1_17;1;7,520;63383;2464786;87,1;5,1;7,81
shrinkage_new;S_1_18;1;2,214;52370;783211;80,7;8,24;10
shrinkage_new;S_1_19;1;3,827;58135;2702058;89,9;3,46;6,63
shrinkage_new;S_1_20;1;3,857;58393;3300267;88,9;3,44;7,61
shrinkage_new;S_1_21;1;4,192;47121;2199580;84,6;6,6;8,76
shrinkage_new;S_1_22;1;5,594;68116;4287500;87,8;4,99;7,18
shrinkage_new;S_1_23;1;5,182;63986;4006954;87,5;4,69;7,78
shrinkage_new;S_1_24;1;3,627;61232;2418401;90,3;3,65;5,97
shrinkage_new;S_2_01;2;5,279;57532;1819198;89,6;4,2;6,22
shrinkage_new;S_2_02;2;2,882;51337;850072;89,7;3,68;6,56
shrinkage_new;S_2_03;2;4,346;54693;1146466;88,8;3,98;7,22
shrinkage_new;S_2_04;2;5,236;59167;1836561;90,2;3,69;6,13
shrinkage_new;S_2_05;2;6,881;54693;1711944;91,7;2,79;5,5
shrinkage_new;S_2_06;2;5,440;60802;2690779;87,7;4,55;7,73
shrinkage_new;S_2_07;2;3,408;50735;1139122;90,9;3,11;5,99
shrinkage_new;S_2_08;2;4,772;53058;1848580;90,9;3,38;5,73
shrinkage_new;S_2_09;2;5,139;53746;750316;92,5;2,19;5,24
shrinkage_new;S_2_10;2;4,089;53833;543620;91,8;3,2;4,9
shrinkage_new;S_2_11;2;4,412;48068;2016360;90,1;4,24;5,63
shrinkage_new;S_2_12;2;4,537;57618;1962583;91,4;2,54;6,03
shrinkage_new;S_2_13;2;7,079;56328;1129114;91,4;3,98;4,58
shrinkage_new;S_2_14;2;4,511;58393;1328257;90,8;3,52;5,66
shrinkage_new;S_2_15;2;3,727;53574;819156;90,7;3,84;5,39
shrinkage_new;S_2_16;2;6,316;55726;996906;91,6;3,55;4,79
shrinkage_new;S_2_17;2;4,697;46089;659755;92,6;2,49;4,92
shrinkage_new;S_2_18;2;3,333;49014;687225;91,6;2,83;5,58
shrinkage_new;S_2_19;2;3,864;53316;1120430;91,6;2,76;5,66
shrinkage_new;S_2_20;2;4,068;53919;902849;92,5;2,44;5,08
shrinkage_new;S_2_21;2;6,028;53316;1617327;92,1;2;5,87
shrinkage_new;S_2_22;2;1,939;44282;724286;91,2;2,77;6,02
shrinkage_new;S_2_23;2;3,748;46519;1591220;88,1;4,4;7,48
shrinkage_new;S_2_24;2;2,288;53488;1470345;90,3;3,19;6,49
shrinkage_new;S_5_01;5;3,803;37828;357646;93,4;2,2;4,39
shrinkage_new;S_5_02;5;3,474;43765;611063;93,7;2,26;4,02
shrinkage_new;S_5_03;5;3,431;40238;745119;93,9;2;4,1
shrinkage_new;S_5_04;5;3,957;36796;419767;89,3;4,62;6,04
shrinkage_new;S_5_05;5;2,213;36710;317760;89,7;4;6,27
shrinkage_new;S_5_06;5;4,079;37054;730462;93,4;2,66;3,94
shrinkage_new;S_5_07;5;3,416;37484;725700;91,9;2,67;5,41
shrinkage_new;S_5_08;5;3,851;41872;501109;92,8;2,38;4,77
shrinkage_new;S_5_09;5;3,522;41012;396187;92,4;2,32;5,32
shrinkage_new;S_5_10;5;4,195;45830;511923;92,7;2,47;4,83
shrinkage_new;S_5_11;5;5,045;42130;750910;93,3;2,5;4,16
shrinkage_new;S_5_12;5;3,603;43679;439389;92,3;2,82;4,85
shrinkage_new;S_5_13;5;4,183;43163;673964;93,7;2,61;3,71
shrinkage_new;S_5_14;5;3,908;41528;981466;93,3;2,78;3,92
shrinkage_new;S_5_15;5;3,170;39119;500778;92,6;3,26;4,14
shrinkage_new;S_5_16;5;3,706;40496;317656;92,3;3,23;4,44
