,day,symbiosis,individual,name,pxl,mm2,condition,log body size
0,0,apo,p1,1,18092,3.99,fed,1.3837912309017721
1,0,apo,p1,2,16930,3.73,fed,1.3164082336557241
2,0,apo,p1,3,16083,3.54,fed,1.264126727145683
3,0,apo,p1,4,14522,3.2,fed,1.1631508098056809
4,0,apo,p1,5,12001,2.64,fed,0.9707789171582248
5,0,apo,p1,6,14492,3.19,fed,1.1600209167967532
6,0,apo,p1,7,11704,2.58,fed,0.9477893989335261
7,0,apo,p1,8,14888,3.28,fed,1.1878434223960523
8,0,apo,p1,9,18417,4.06,fed,1.4011829736136412
9,0,apo,p1,10,19396,4.27,fed,1.451613827240533
10,0,apo,p1,11,17276,3.81,fed,1.3376291891386096
11,0,apo,p1,12,16407,3.62,fed,1.2864740258376797
12,0,apo,p1,13,9530,2.1,fed,0.7419373447293773
13,0,apo,p1,14,17837,3.93,fed,1.3686394258811698
14,0,apo,p1,15,12110,2.67,fed,0.9820784724121582
15,0,apo,p2,1,11159,2.46,fed,0.9001613499442714
16,0,apo,p2,2,15196,3.35,fed,1.208960345836975
17,0,apo,p2,3,19182,4.23,fed,1.4422019930581866
18,0,apo,p2,4,29575,6.52,fed,1.8748743759385615
19,0,apo,p2,5,15903,3.5,fed,1.252762968495368
20,0,apo,p2,6,13687,3.02,fed,1.1052568313867783
21,0,apo,p2,7,20222,4.46,fed,1.4951487660319727
22,0,apo,p2,8,18454,4.07,fed,1.4036429994545037
23,0,apo,p2,9,39272,8.65,fed,2.157559320943788
24,0,apo,p2,10,17306,3.81,fed,1.3376291891386096
25,0,apo,p2,11,12333,2.72,fed,1.000631880307906
26,0,apo,p3,1,30063,6.62,fed,1.890095369948917
27,0,apo,p3,2,10548,2.32,fed,0.8415671856782185
28,0,apo,p3,3,13916,3.07,fed,1.1216775615991057
29,0,apo,p3,4,19857,4.38,fed,1.4770487243883548
30,0,apo,p3,5,11307,2.49,fed,0.9122827104766164
31,0,apo,p3,6,13214,2.91,fed,1.0681530811834012
32,0,apo,p3,7,11919,2.63,fed,0.9669838461896731
33,0,apo,p3,8,14639,3.23,fed,1.172482137234565
34,0,apo,p3,9,27824,6.13,fed,1.81319474994812
35,0,apo,p3,10,5378,1.18,fed,0.16551443847757333
36,0,apo,p3,11,15694,3.46,fed,1.2412685890696329
37,0,apo,p3,12,12483,2.75,fed,1.0116009116784799
88,7,apo,p1,1,91421,20.14,fed,3.0027078872904163
89,7,apo,p1,1,24868,5.48,fed,1.7011051009599243
90,7,apo,p1,1,119067,26.23,fed,3.2669037938787824
91,7,apo,p1,1,71027,15.65,fed,2.750470916986162
92,7,apo,p1,1,101478,22.36,fed,3.1072736482868986
93,7,apo,p1,6,26973,5.94,fed,1.7817091333745536
94,7,apo,p1,7,52483,11.56,fed,2.4475508632442313
95,7,apo,p1,8,57064,12.57,fed,2.531313022602156
96,7,apo,p1,9,99872,22.01,fed,3.0914968955383704
97,7,apo,p1,10,49690,10.95,fed,2.3933394562625097
98,7,apo,p1,11,68225,15.03,fed,2.710048203764883
99,7,apo,p1,12,75754,16.69,fed,2.8148097376737438
100,7,apo,p1,13,56607,12.47,fed,2.523325759691945
101,7,apo,p1,14,68238,15.04,fed,2.7107133185216936
102,7,apo,p1,15,55329,12.19,fed,2.5006159434931803
103,7,apo,p1,16,25621,5.65,fed,1.7316555451583497
104,7,apo,p2,1,33985,7.49,fed,2.0135687975291283
105,7,apo,p2,2,42175,9.29,fed,2.2289385528257473
106,7,apo,p2,3,66956,14.75,fed,2.691243082785829
107,7,apo,p2,4,22275,4.91,fed,1.5912739418064292
108,7,apo,p2,5,101246,22.31,fed,3.105035008444441
109,7,apo,p2,6,125272,27.6,fed,3.3178157727231046
110,7,apo,p2,7,48111,10.6,fed,2.3608540011180215
111,7,apo,p2,8,88371,19.47,fed,2.968874819384108
112,7,apo,p2,9,118083,26.02,fed,3.2588654730843594
113,7,apo,p2,10,19286,4.25,fed,1.4469189829363254
114,7,apo,p2,11,105448,23.23,fed,3.145444546782318
115,7,apo,p2,12,141633,31.21,fed,3.440738556282688
116,7,apo,p2,13,42449,9.35,fed,2.2353763433005955
117,7,apo,p2,14,88283,19.45,fed,2.9678470700644555
118,7,apo,p2,15,26225,5.78,fed,1.7544036826842861
119,7,apo,p2,16,42101,9.28,fed,2.2278615467981093
120,7,apo,p3,17,88729,19.55,fed,2.972975286431375
121,7,apo,p3,18,48365,10.66,fed,2.3664984187376983
122,7,apo,p3,19,56418,12.43,fed,2.5201129055226197
123,7,apo,p3,20,69474,15.31,fed,2.7285062096695922
124,7,apo,p3,21,147094,32.41,fed,3.4784670171534557
125,7,apo,p3,22,106960,23.57,fed,3.1599747169480397
126,7,apo,p3,23,30472,6.71,fed,1.9035989509835904
127,7,apo,p3,24,58449,12.88,fed,2.5556757206762075
128,7,apo,p3,25,70431,15.52,fed,2.7421295147550726
