"","tau1"
"1",2.00000261665661
"2",2.11315183085358
"3",2.00008522067982
"4",1.96011695305341
"5",1.9999987913506
"6",2.00000018070678
"7",2.00000164689149
"8",1.9999991742534
"9",2.0000041684741
"10",2.00001237371407
"11",-0.0823395437807501
"12",2.000001536547
"13",2.5962418847673
"14",2.00068642688045
"15",2.00017789447986
"16",2.17322414794582
"17",2.43165613136028
"18",-0.58795811492084
"19",2.00008882485237
"20",2.81039156700062
"21",2.00007855991755
"22",2.00000437024159
"23",2.00027343294885
"24",2.00010147145392
"25",2.00000317707921
"26",1.99715460504039
"27",2.22714445523653
"28",2.00107722644329
"29",2.00013412511944
"30",2.14131984255565
"31",2.0000386314682
"32",2.00000119629566
"33",2.00009984395331
"34",2.00002053455421
"35",2.68585369815098
"36",2.00000014230115
"37",2.00878747379232
"38",1.99999701519137
"39",2.1947789655677
"40",2.2893410830981
"41",2.03875092349693
"42",1.99999778736505
"43",1.99998069733749
"44",2.01017223023892
"45",2.00003093780427
"46",2.22211936484655
"47",2.00002269796222
"48",1.99998487063842
"49",1.99999965588465
"50",1.99965287981923
"51",2.00001071127211
"52",2.00000007601357
"53",2.33757580599039
"54",2.00001896485977
"55",2.10763618772626
"56",2.00015837670534
"57",1.9999999341138
"58",2.00000087411477
"59",2.02740391923941
"60",2.34223124037959
"61",2.2010055810953
"62",2.16238738442131
"63",2.00001164333011
"64",2.00000015015784
"65",1.99999967945484
"66",2.00000028025142
"67",2.00000016171539
"68",2.00009242121412
"69",1.99997819296751
"70",2.0000181391672
"71",2.32149668004029
"72",2.0000216592744
"73",2.02409982676286
"74",2.79370877034137
"75",2.00004813729328
"76",1.99999994105477
"77",2.0000205539219
"78",1.99999740311348
"79",2.00000675679751
"80",2.08840879922407
"81",1.99999299923088
"82",2.00070056762073
"83",2.01824768841371
"84",1.99988687411218
"85",2.00000866422307
"86",2.00000682434607
"87",2.00499257759904
"88",2.0000093729713
"89",2.00000486369213
"90",2.00000255490903
"91",2.00008835566657
"92",2.0000123541055
"93",2.18574667572086
"94",2.00000136779334
"95",2.00002220483326
"96",2.00000053912288
"97",2.00000166930594
"98",2.26475336037216
"99",2.00000033789385
"100",2.00000252753182
"101",2.00000484122592
"102",2.00006393168148
"103",1.99999365249955
"104",2.33718249164103
"105",2.00000002127456
"106",2.0000036498004
"107",2.53366387550757
"108",2.00024102730595
"109",1.99999846863451
"110",2.00000151899405
"111",2.00000164890288
"112",2.00001262082008
"113",2.00001125385656
"114",2.0000003380504
"115",2.42079948025308
"116",1.99999191071603
"117",1.99999154488376
"118",2.0003775832792
"119",1.99961135648784
"120",2.00000120288069
"121",2.00638169752733
"122",2.00164222523019
"123",1.99991947428574
"124",1.99999999717383
"125",2.53267008933221
"126",2.84186631375923
"127",2.00000160617462
"128",2.00001689746217
"129",2.00005560136417
"130",1.99999981153015
"131",2.00000079081205
"132",2.00002074917192
"133",2.00065053573843
"134",2.00000467770784
"135",2.00000941760916
"136",2.00000012465487
"137",2.28317055688453
"138",2.00000060015063
"139",2.00000035589488
"140",2.16890368595631
"141",2.00012730296631
"142",2.00000000051104
"143",2.00000034468231
"144",1.99999339842112
"145",1.99999298355703
"146",2.0000818782666
"147",2.00000011329442
"148",1.9999984383762
"149",2.11383809799535
"150",1.99998783745439
"151",2.00068333634935
"152",2.00113806891988
"153",2.06541496250521
"154",2.00000052548456
"155",2.00000985718704
"156",2.51638955050542
"157",1.99999399973605
"158",2.00000452298692
"159",1.99992613109842
"160",2.00096769661732
"161",2.00000224193446
"162",1.99999341131889
"163",2.00000094706592
"164",1.9999879792427
"165",1.99999737709036
"166",2.35245589066806
"167",2.00000022794305
"168",2.00000105768551
"169",2.00002798525212
"170",2.00000174906803
"171",2.00022778831195
"172",2.00185728639374
"173",1.9999944738077
"174",2.00000506194188
"175",2.00820324720474
"176",2.02319261315813
"177",2.00000487502757
"178",2.01426015730876
"179",2.0001768729343
"180",1.99998372088705
"181",2.000006889509
"182",2.00012423818118
"183",2.07297996303522
"184",2.00067747263256
"185",2.00288730159722
"186",2.00000132373293
"187",2.00000842243078
"188",2.000019418008
"189",1.99971155253196
"190",2.08010888350377
"191",1.99999875220098
"192",1.9995922775476
"193",1.99999939506009
"194",1.99999951211421
"195",2.00000457311625
"196",1.99999867137431
"197",2.00000000057062
"198",2.12691463817921
"199",2.00001209034458
"200",2.00000750933306
"201",2.00000013294108
"202",2.20341202160116
"203",2.00000095272492
"204",2.26418037287638
"205",2.00000168297265
"206",2.00000401666916
"207",2.01205555261657
"208",2.00011412310545
"209",1.99999974006354
"210",2.80262717859267
"211",1.99999956085078
"212",2.10074062639409
"213",2.34952811032334
"214",1.99999551991445
"215",2.00000012833177
"216",2.00655103701985
"217",2.00000078991684
"218",2.00340994442713
"219",1.99999863664344
"220",2.00000041115018
"221",2.0000844374386
"222",2.00000868101119
"223",1.99999904567628
"224",1.99997426987169
"225",2.00185101752472
"226",2.39779334014668
"227",1.99999945757371
"228",2.00000498552893
"229",2.00000069758639
"230",2.00000633027087
"231",2.00022731170193
"232",1.99856864576721
"233",1.99999963844432
"234",2.64867315574187
"235",2.00002510776493
"236",2.00003544580645
"237",2.0000015151067
"238",2.29142957205525
"239",2.00000039947932
"240",2.11869494132491
"241",2.4312832135544
"242",2.00000953380505
"243",2.00048846620778
"244",2.0004084204463
"245",1.99998829857162
"246",1.99999491252989
"247",2.00000237241852
"248",2.00006400632515
"249",2.04671989876228
"250",2.43530778788213
"251",2.00000002414273
"252",2.0001098948065
"253",2.1667543515024
"254",2.01870035508902
"255",1.99992140543653
"256",1.99999966416873
"257",2.00003031102614
"258",1.99999909513817
"259",1.99999661301395
"260",2.04571031237281
"261",1.99996005861458
"262",1.99999915235063
"263",2.00053464643864
"264",1.99996967634187
"265",2.00004370976523
"266",2.04940822159455
"267",2.00000372092375
"268",2.00013373418886
"269",2.00000054003798
"270",1.99999832421331
"271",2.00048382069203
"272",2.00000191277865
"273",2.00012051503712
"274",2.01526199428096
"275",4.40061061601094
"276",1.99987579136422
"277",2.00001218722545
"278",3.22009769683329
"279",2.18983102849961
"280",2.09288642248939
"281",2.2582399392853
"282",2.00000050837323
"283",1.99999988057734
"284",1.99999974669196
"285",1.99999866795807
"286",2.00003358281708
"287",2.00000014934046
"288",1.99998152265945
"289",2.0000029073566
"290",2.00164355183191
"291",2.19440923990406
"292",1.99999734229303
"293",1.99999737704712
"294",2.00000096349513
"295",2.00073999226222
"296",2.84553299740853
"297",2.0002375987688
"298",2.0000399766551
"299",2.2308343851401
"300",2.06407754662059
