"","tau1"
"1",1.70917141841986
"2",1.88927246920917
"3",1.3451917298697
"4",1.94310023802777
"5",1.36454507251564
"6",1.99813140603977
"7",1.7365652525558
"8",1.579279072324
"9",1.99578253418316
"10",1.35217519556246
"11",1.73491914236674
"12",1.7527073924947
"13",1.06368878332942
"14",1.56458535235384
"15",1.17468190197295
"16",1.84777608461941
"17",1.6135901161725
"18",1.44195792346738
"19",1.75793484744267
"20",1.52669174071364
"21",1.22557374507166
"22",1.97209275055321
"23",2.00001073820213
"24",1.27315898563612
"25",1.99999531337362
"26",1.69726468416252
"27",1.77034460924064
"28",1.98479503848274
"29",1.46556851587481
"30",1.58875272392049
"31",1.57875100967806
"32",1.44882453853885
"33",1.59673838593493
"34",1.36449985310556
"35",1.35625348995764
"36",2.00000820387232
"37",1.97631385396887
"38",1.98020842858018
"39",1.99994456610078
"40",1.52923941487002
"41",1.7080310228067
"42",1.99977528752318
"43",1.60711116085071
"44",1.93463653497049
"45",1.80353041819252
"46",1.44356426269407
"47",1.70620192815216
"48",1.89272821546616
"49",1.40086629514449
"50",1.51944728385271
"51",1.27823894887753
"52",1.68425468252413
"53",2.00000237252373
"54",1.93668845829626
"55",1.85405656088109
"56",1.99995528512962
"57",1.53213759259241
"58",1.81402558323634
"59",1.40464210472339
"60",1.78154044250858
"61",1.62215861228672
"62",1.20317638363597
"63",1.80482793448097
"64",1.99999996940204
"65",1.99992290423134
"66",1.39586455871672
"67",1.30287722928049
"68",1.99998858381166
"69",1.69678763231005
"70",1.50995770661952
"71",1.25241765717056
"72",1.99951080491055
"73",1.68953829267127
"74",1.33996763988672
"75",1.56957904620162
"76",1.77790241159514
"77",1.97549978120481
"78",1.39604667495653
"79",1.42973155383387
"80",1.98520273511779
"81",1.82485671549977
"82",1.99991103226462
"83",1.4589712391809
"84",1.85445842776785
"85",1.03823013772867
"86",1.42256061698307
"87",1.97119503878758
"88",1.36681296549294
"89",1.27321138170644
"90",1.96669024350715
"91",1.36238441421459
"92",1.65549548112087
"93",1.77909008042008
"94",1.96849185876029
"95",1.99902996019348
"96",1.90924313687902
"97",1.62379197613564
"98",1.9818108991486
"99",1.78270535822155
"100",1.21471312976927
"101",0.744725758809948
"102",1.78889654810641
"103",1.85227435435243
"104",1.99772733411239
"105",1.99997872027652
"106",1.71056352820268
"107",1.9999763517382
"108",1.93604191814577
"109",1.97426783757058
"110",1.72139141022462
"111",1.41601476856004
"112",1.99741413939567
"113",1.89829861920771
"114",1.86602848885706
"115",1.4622366035493
"116",1.68694144509672
"117",1.89990282818292
"118",1.98100819115816
"119",2.02927153923728
"120",1.95753449405542
"121",1.0538784904707
"122",1.66444934684076
"123",1.53601399140249
"124",1.42083631721985
"125",1.50198762956219
"126",1.83502384905103
"127",1.73844830969603
"128",1.99995494985508
"129",1.55322343033991
"130",2.02733884161904
"131",1.56708305412843
"132",1.65514733168603
"133",1.5827964300438
"134",1.80745913631914
"135",1.86597261926031
"136",1.28825280344211
"137",1.94897597610298
"138",1.99977615460057
"139",1.84663167922621
"140",1.80504385831099
"141",1.37590739362616
"142",1.17035960709861
"143",1.40291129499568
"144",1.2521221672165
"145",1.99999182169768
"146",1.98638601269145
"147",1.46460779197114
"148",1.33067727873947
"149",1.67763915070628
"150",1.29611555622762
"151",1.99995154758124
"152",1.9999641730712
"153",1.83818872185331
"154",1.6744088094142
"155",1.85976732493298
"156",1.99996670278517
"157",1.52156776902868
"158",1.70504300235405
"159",1.8172460338682
"160",1.999960771133
"161",1.21446600583936
"162",1.36081363391862
"163",1.21851103167891
"164",1.99999662086455
"165",1.87170665394207
"166",1.47890482982548
"167",1.78242856205673
"168",2.0000073524493
"169",1.42468843144523
"170",1.4836875360956
"171",1.58446049686437
"172",1.30015903771338
"173",1.86319278948657
"174",2.00189209147128
"175",1.70707878323315
"176",1.60120232433094
"177",1.47030360225807
"178",1.42001853508159
"179",1.7410477038736
"180",1.50818648939969
"181",1.99741893728751
"182",1.74342744282026
"183",1.95134299982379
"184",1.75995770765939
"185",1.9575686090308
"186",1.42407027062379
"187",1.82025028910593
"188",1.99981985154863
"189",1.25732562415236
"190",1.61187296502826
"191",2.0278548938066
"192",1.8739205292975
"193",1.99999927203928
"194",1.99989570889117
"195",1.35529166386993
"196",1.99996498016685
"197",1.59948768787882
"198",1.47254131777299
"199",1.42213684309569
"200",1.40091988999725
"201",2.09207273113403
"202",1.39243184037402
"203",1.93425304343813
"204",1.99992724660674
"205",0.999985421641703
"206",1.26746659812801
"207",1.99635941978056
"208",1.9886119647033
"209",1.64347709261533
"210",1.40276709154154
"211",1.70437813522438
"212",1.99965998525511
"213",1.365739699092
"214",1.46172878652206
"215",1.28554624127657
"216",1.31560104627025
"217",1.68052312173233
"218",1.81334922260932
"219",1.6056808213916
"220",1.99985584648991
"221",1.23583540483581
"222",1.99997378602773
"223",1.47810681942405
"224",1.48257417814188
"225",1.99999901485755
"226",1.2773289925023
"227",1.20712841221272
"228",1.69535674650694
"229",1.6021261263041
"230",1.93134294430749
"231",1.4227425889277
"232",1.48651090760668
"233",1.39286159446072
"234",1.76894232363912
"235",1.93703856722254
"236",1.67467810895574
"237",1.06129011506891
"238",1.99998600358856
"239",1.47530848087315
"240",1.69032620157247
"241",1.99949551236373
"242",1.36988574595706
"243",1.83902349825533
"244",1.32069122281067
"245",1.70499992442487
"246",1.65230945782408
"247",2.00265308147857
"248",1.25475768780748
"249",1.99991357935177
"250",1.99999846242559
"251",1.4252252819201
"252",1.95275771635978
"253",1.99968148565822
"254",2.10400037554139
"255",1.63056275706832
"256",1.99993550372435
"257",1.68866116871118
"258",1.92130736531679
"259",1.81368825933634
"260",0.928672153683293
"261",1.56414590198976
"262",1.99709659601584
"263",1.29065954969682
"264",1.99999553202662
"265",1.99999394597356
"266",1.34705977637012
"267",1.5303257417914
"268",1.99963710730414
"269",1.72703248447499
"270",1.58032184081254
"271",1.63910171899931
"272",1.97085553048969
"273",1.56788652937546
"274",1.9999905766805
"275",1.56935822711943
"276",1.99999765567913
"277",1.99999970943111
"278",1.84294685607206
"279",1.37294188267714
"280",2.1080504454753
"281",1.47445958151841
"282",1.56617589894375
"283",2.00043681177432
"284",1.93398316718249
"285",1.88871360657069
"286",1.77159243550683
"287",1.34998649319209
"288",1.99999589398305
"289",1.52728875306595
"290",1.70567411358138
"291",1.22570203696829
"292",1.66678335359776
"293",1.47419617853053
"294",1.98190781765441
"295",1.79942069411712
"296",1.50020747787137
"297",1.95315982956943
"298",1.89756163749683
"299",1.5794431107578
"300",1.51686899048566
