day	symbiosis	individual	name	pxl	mm2	condition
0	apo	p1	1	18092	3,99	fed
0	apo	p1	2	16930	3,73	fed
0	apo	p1	3	16083	3,54	fed
0	apo	p1	4	14522	3,20	fed
0	apo	p1	5	12001	2,64	fed
0	apo	p1	6	14492	3,19	fed
0	apo	p1	7	11704	2,58	fed
0	apo	p1	8	14888	3,28	fed
0	apo	p1	9	18417	4,06	fed
0	apo	p1	10	19396	4,27	fed
0	apo	p1	11	17276	3,81	fed
0	apo	p1	12	16407	3,62	fed
0	apo	p1	13	9530	2,10	fed
0	apo	p1	14	17837	3,93	fed
0	apo	p1	15	12110	2,67	fed
0	apo	p2	1	11159	2,46	fed
0	apo	p2	2	15196	3,35	fed
0	apo	p2	3	19182	4,23	fed
0	apo	p2	4	29575	6,52	fed
0	apo	p2	5	15903	3,50	fed
0	apo	p2	6	13687	3,02	fed
0	apo	p2	7	20222	4,46	fed
0	apo	p2	8	18454	4,07	fed
0	apo	p2	9	39272	8,65	fed
0	apo	p2	10	17306	3,81	fed
0	apo	p2	11	12333	2,72	fed
0	apo	p3	1	30063	6,62	fed
0	apo	p3	2	10548	2,32	fed
0	apo	p3	3	13916	3,07	fed
0	apo	p3	4	19857	4,38	fed
0	apo	p3	5	11307	2,49	fed
0	apo	p3	6	13214	2,91	fed
0	apo	p3	7	11919	2,63	fed
0	apo	p3	8	14639	3,23	fed
0	apo	p3	9	27824	6,13	fed
0	apo	p3	10	5378	1,18	fed
0	apo	p3	11	15694	3,46	fed
0	apo	p3	12	12483	2,75	fed
0	sym	p4	1	20453	4,51	fed
0	sym	p4	2	10238	2,26	fed
0	sym	p4	3	20666	4,55	fed
0	sym	p4	4	15859	3,49	fed
0	sym	p4	5	15109	3,33	fed
0	sym	p4	6	21905	4,83	fed
0	sym	p4	7	18650	4,11	fed
0	sym	p4	8	12536	2,76	fed
0	sym	p4	9	15444	3,40	fed
0	sym	p4	10	43674	9,62	fed
0	sym	p4	11	30631	6,75	fed
0	sym	p4	12	12969	2,86	fed
0	sym	p4	13	22487	4,95	fed
0	sym	p4	14	9505	2,09	fed
0	sym	p5	1	34924	7,70	fed
0	sym	p5	2	25486	5,62	fed
0	sym	p5	3	15447	3,40	fed
0	sym	p5	4	17501	3,86	fed
0	sym	p5	5	24422	5,38	fed
0	sym	p5	6	23314	5,14	fed
0	sym	p5	7	22022	4,85	fed
0	sym	p5	8	11728	2,58	fed
0	sym	p5	9	15253	3,36	fed
0	sym	p5	10	24524	5,40	fed
