,Day_x,Body_size_in_mm2,log body size,Day_y,cell number,log cell number,Day,median,log cell size
S_0d_1,0,3.72448165,1.3149276877862401,0,1193939.39393939,13.992768812801678,0,63680,11.061625820518264
S_0d_2,0,5.997641726,1.7913663462986944,0,1657906.4587973275,14.321066194990115,0,65280,11.086440989637989
S_0d_3,0,2.923042068,1.0726248780884933,0,765604.2496679947,13.548420669873494,0,63488,11.058606190644545
S_0d_4,0,3.030743828,1.10880807718286,0,323789.76486860303,12.687849710302375,0,55936,10.931963459015208
S_0d_5,0,3.125798789,1.139689863005061,0,577266.1870503598,13.266058768487262,0,60288,11.006888357936035
S_0d_6,0,3.375267069,1.2164744527493123,0,772913.3858267716,13.557922271908339,0,73152,11.200294747154482
S_0d_7,0,4.619446769,1.5302749509537097,0,274581.0055865922,12.523001598716695,0,68672,11.13709682599037
S_0d_8,0,4.607003952,1.527577743778461,0,806976.7441860465,13.601050129223525,0,72256,11.187970647509333
S_0d_9,0,4.550603315,1.51525982087599,0,1695652.1739130435,14.343577988164771,0,43904,10.689760711085556
S_0d_10,0,2.80218356,1.0303989561188562,0,1299109.1314031181,14.077189303981612,0,48064,10.780288735123806
S_0d_11,0,3.356398863,1.21086863225791,0,1794763.0922693268,14.400383589171463,0,44992,10.714239975170337
S_0d_12,0,4.036266219,1.3953200614161239,0,922968.1978798587,13.735350057723313,0,40896,10.618787537737207
S_0d_13,0,4.00954476,1.388677708689354,0,1256849.3150684931,14.044118603750563,0,43520,10.680975881529823
S_0d_14,0,6.541250038,1.8781282845135678,0,2513076.923076923,14.737018426115716,0,42880,10.666160795744684
S_0d_15,0,3.870837949,1.3534710078930954,0,2517582.4175824174,14.738809640906874,0,52096,10.860843449362212
S_0d_16,0,3.326821676,1.2020173965616874,0,1095684.8030018762,13.906890116626657,0,49856,10.81689412923042
S_0d_17,0,5.885656374,1.7725182678828284,0,1746889.95215311,14.373347594661054,0,49728,10.814323433727319
S_0d_18,0,2.401871623,0.8762482763510753,0,1384299.0654205608,14.14070447954778,0,46464,10.746433098184468
S_0d_19,0,4.368448634,1.4744079424174543,0,1831125.8278145695,14.420441542111739,0,46464,10.746433098184468
S_0d_20,0,3.859924986,1.3506477496091467,0,1582474.2268041237,14.274500146488142,0,44544,10.704232743694092
S_0d_21,0,3.869104114,1.3530229851521267,0,1194852.9411764706,13.993533673998014,0,53312,10.883916725526515
S_0d_22,0,4.060743892,1.4013661814606004,0,2463546.7980295564,14.717112657347345,0,40640,10.612508082252363
S_0d_23,0,2.217371166,0.7963223347539344,0,1205163.5111876077,14.002125809632929,0,48704,10.793516441221358
S_0d_24,0,2.8764325,1.0565508110281498,0,1254563.8945233265,14.042298575754126,0,43200,10.673595774232203
S_1d_1,1,2.942726197,1.0793364295851897,1,2275637.393767705,14.637770744210744,1,58752,10.981080473980162
S_1d_2,1,3.743554051,1.3200354412113202,1,2688721.8045112784,14.80457647304188,1,51264,10.84474403042803
S_1d_3,1,2.310284331,0.8373706039721044,1,1301305.9701492537,14.078878910588992,1,47488,10.768232326527052
S_1d_4,1,3.390667605,1.221026835631796,1,934511.4345114345,13.747779141770188,1,52928,10.876687778383364
S_1d_5,1,2.380351669,0.8672482368519709,1,1738321.1678832115,14.36843035938302,1,51328,10.845991691226187
S_1d_6,1,4.639232887,1.5345490264927153,1,2662068.9655172415,14.79461418500853,1,57152,10.95346966423617
S_1d_7,1,3.148338646,1.1468748997376186,1,1422286.8217054266,14.167776572033729,1,53568,10.888707153849147
S_1d_8,1,3.139771461,1.144150014150323,1,1793926.2472885035,14.399917209991317,1,54144,10.899402442965895
S_1d_9,1,2.374334241,0.8647170786107801,1,1358201.0582010583,14.121671630781726,1,71040,11.170998377666052
S_1d_10,1,3.613108454,1.2845684694287918,1,2094152.0467836256,14.554659278466001,1,70272,11.160128705429148
S_1d_11,1,3.522235095,1.2590957582721982,1,1971325.3012048192,14.494216616253228,1,71872,11.182642038098114
S_1d_12,1,1.601043768,0.47065577155470756,1,661199.0950226244,13.401810276238754,1,67136,11.114475691755969
S_1d_13,1,2.869905121,1.0542789703400552,1,1292508.7108013937,14.072095624840188,1,72128,11.186197597399449
S_1d_14,1,2.065711586,0.725474760758822,1,1309743.5897435897,14.085341942998966,1,73024,11.198543433221747
S_1d_15,1,2.701723112,0.9938897590835117,1,1010919.540229885,13.826370910493258,1,71680,11.179967047648812
S_1d_16,1,3.150072481,1.1474254624140892,1,2120365.5352480416,14.567099054071994,1,68928,11.140817760516061
S_1d_17,1,7.758198327,2.048750132882819,1,2447277.9369627507,14.710486918713949,1,62080,11.0361791548571
S_1d_18,1,5.38865763,1.6842963056657667,1,2318149.466192171,14.656279781472662,1,63296,11.055577414982384
S_1d_19,1,3.706531572,1.3100965530872626,1,1963005.7803468208,14.489987417903688,1,64704,11.077578302380143
S_1d_20,1,5.323893788,1.6722049506719598,1,2537818.181818182,14.746815286320809,1,63040,11.051524724531761
S_1d_21,1,4.376607859,1.4762739629226593,1,2567052.023121387,14.758268725764552,1,55936,10.931963459015208
S_1d_22,1,6.249761753,1.8325433435017426,1,2905244.755244755,14.882028197815357,1,67904,11.125850221973655
S_1d_23,1,5.79692481,1.7573275717714945,1,3426132.4041811847,15.046942603990763,1,62016,11.035147695250439
S_1d_24,1,3.203923361,1.1643761091322649,1,1210690.4231625835,14.00670135249901,1,60800,11.015345067954259
S_2d_1,2,5.601409401,1.72301824482532,2,4234375.0,15.258746295484302,2,47040,10.758753582572508
S_2d_2,2,7.239373658,1.9795346913293375,2,6046596.858638743,15.615006169038686,2,56704,10.945600033964753
S_2d_3,2,7.3682894,1.9971855761403874,2,3903431.3725490193,15.177366563383456,2,56640,10.944470728367602
