,Day_x,Body_size_in_mm2 ,log body size,Day_y,Cell number,log cell number,Day,median,log cell size
F_0d_1,0,0.290888685,-1.2348146107654872,0,37500.0,10.532096211958502,0,50176,10.823292103710079
F_0d_3,0,0.543924089,-0.6089455841425359,0,84210.52631578947,11.34107520804357,0,43072,10.6706284130044
F_0d_5,0,0.290276502,-1.2369213550788716,0,31774.1935483871,10.36640971566908,0,38976,10.57070135106957
F_0d_7,0,0.402101826,-0.911049923930304,0,75414.78129713424,11.230758573206558,0,41152,10.625027807597291
F_0d_10,0,0.434853586,-0.8327458884585761,0,88888.88888888889,11.395142429313845,0,34880,10.459668878022915
F_0d_12,0,0.298745026,-1.2081648252474038,0,93234.100135318,11.442868815035686,0,39296,10.578878011506815
F_0d_13,0,0.267931844,-1.317022644247261,0,96610.16949152542,11.47843928889906,0,45568,10.726960994771648
F_0d_14,0,0.237730844,-1.4366161528321804,0,73863.63636363637,11.20997592038766,0,39552,10.585371540817363
F_0d_15,0,0.476788083,-0.7406831572513988,0,73807.10659898477,11.209210301331659,0,39936,10.5950334517291
F_0d_16,0,0.261810019,-1.3401361565670977,0,83009.70873786407,11.326712852683308,0,42304,10.652636923211357
F_0d_17,0,0.336802367,-1.0882589687289224,0,33846.15384615385,10.429580648432907,0,41472,10.632773779711947
F_0d_21,0,0.310070401,-1.1709559072862465,0,38916.25615763547,10.569167338395463,0,34944,10.461502059104577
F_0d_24,0,0.291500867,-1.2327122989250012,0,35093.167701863356,10.465761738138161,0,51328,10.845991691226187
F_2d_1,2,0.743393531,-0.29652972306698966,2,298979.5918367347,12.608130595316723,2,51904,10.857151137475086
F_2d_2,2,0.892561983,-0.11365931900029917,2,193298.42931937173,12.171990539552295,2,48192,10.782948311159565
F_2d_3,2,0.723089481,-0.32422230099596344,2,163947.0782800441,12.007298961315247,2,46784,10.75329654310945
F_2d_4,2,1.014182226,0.01408259908224466,2,149248.12030075188,11.91336543687572,2,50368,10.827111331777076
F_2d_5,2,0.669319457,-0.4014938186272342,2,136926.8897149938,11.827202410652133,2,42496,10.657165232836105
F_2d_6,2,0.688909295,-0.37264566394969606,2,99031.21636167922,11.503190396199475,2,46976,10.757392111974188
F_2d_7,2,0.725232119,-0.32126351123113206,2,123929.47103274558,11.727467900775347,2,45824,10.732563250320318
F_2d_8,2,0.538618508,-0.6187477360312806,2,47225.13089005236,10.762681463992177,2,40192,10.60142324982787
F_2d_9,2,0.840424446,-0.173848221905083,2,318636.36363636365,12.671805805652458,2,56384,10.93994070929585
F_2d_16,2,0.269054178,-1.3128425144551423,2,33333.33333333333,10.414313176302118,2,42176,10.64960661786218
F_2d_17,2,0.721763085,-0.32605833105718907,2,86641.22137404581,11.369530978690534,2,38080,10.5474444889053
F_2d_18,2,0.555657586,-0.5876030269645972,2,45099.90485252141,10.716635415788353,2,38528,10.559140528668493
F_2d_19,2,0.88164473,-0.12596610457475432,2,109985.09687034276,11.608100152599018,2,29632,10.296610137445906
F_2d_20,2,0.449750026,-0.7990633483416018,2,91941.87582562747,11.4289118718672,2,36608,10.50802207473947
F_2d_21,2,0.496786042,-0.6995958445707673,2,95384.61538461539,11.465672580119683,2,37696,10.537309267011258
F_2d_22,2,0.389756147,-0.9422339995201297,2,42815.67489114659,10.66465955029639,2,35840,10.486819867088867
F_2d_23,2,0.825834099,-0.19136137430223474,2,243750.0,12.403898388860094,2,42176,10.64960661786218
F_2d_24,2,0.630445873,-0.4613279750021799,2,155852.15605749487,11.956663119283268,2,45120,10.71708088617194
F_4d_1,4,1.092337517,0.0883199110686975,4,276891.6155419223,12.531381428967576,4,56256,10.937667981044848
F_4d_2,4,1.641567187,0.49565138736861614,4,231292.51700680272,12.3514384958017,4,61504,11.026857492329965
F_4d_3,4,1.920110193,0.6523825765803216,4,242857.14285714284,12.40022865997113,4,56512,10.942208283963632
F_4d_4,4,1.18375676,0.16869307616710394,4,115157.8947368421,11.654059463357568,4,51264,10.84474403042803
F_4d_5,4,0.83634323,-0.17871618795407773,4,67579.90867579909,11.121066008917843,4,42944,10.667652220331354
F_4d_6,4,1.971533517,0.6788116749518754,4,85835.0951374207,11.360183236080028,4,48704,10.793516441221358
F_4d_7,4,1.107233956,0.10186497376360489,4,66666.66666666666,11.107460356862063,4,41984,10.645043872303761
F_4d_8,4,1.056626875,0.05508164078330294,4,75041.05090311986,11.225790588154537,4,48448,10.78824633679712
F_4d_11,4,1.063871034,0.0619141749264744,4,135603.71517027862,11.817492052124019,4,62080,11.0361791548571
F_4d_15,4,0.994694419,-0.00531970557641464,4,108181.81818181818,11.591568592289342,4,54400,10.904119432844034
F_4d_17,4,1.139373533,0.13047857890196382,4,183823.5294117647,12.121731497096423,4,50752,10.83470630499452
F_4d_18,4,1.633710846,0.4908540199460823,4,237377.04918032786,12.377405080748533,4,43200,10.673595774232203
F_4d_21,4,0.966023875,-0.03456672975412662,4,162621.35922330097,11.999179828005714,4,43392,10.678030371300068
F_4d_22,4,0.994796449,-0.005217136620979329,4,108478.51335656214,11.59430739877134,4,46784,10.75329654310945
F_6d_1,6,1.933476176,0.6593195102928966,6,87804.87804878049,11.38287233672203,6,50944,10.838482269204055
F_6d_2,6,1.898785838,0.6412146492724363,6,77248.67724867724,11.254785071618922,6,60352,11.00794936599313
F_6d_3,6,1.254055709,0.22638286626383847,6,169230.76923076922,12.039018560867007,6,65408,11.088399854123322
F_6d_4,6,1.961840629,0.6738831289958156,6,184745.7627118644,12.126735903293653,6,70464,11.162857220082351
F_6d_5,6,2.414039384,0.8813014373724118,6,201273.88535031848,12.212421873208832,6,68288,11.131489334661426
F_6d_6,6,1.886950311,0.6349619337662629,6,132692.3076923077,11.79578825098606,6,65280,11.086440989637989
