,Boots value,Legend
b_1.apo,0.19314838158931,b_1.apo
b_2.apo,-0.025128908688739,b_2.apo
b_1.symb,0.213395360299176,b_1.symb
b_2.symb,-0.0074797284017042,b_2.symb
b_1.apo,0.173310465047854,b_1.apo
b_2.apo,-0.0243209874942376,b_2.apo
b_1.symb,0.139209708135155,b_1.symb
b_2.symb,-0.0099097870251623,b_2.symb
b_1.apo,0.213493890224854,b_1.apo
b_2.apo,-0.0253114292246804,b_2.apo
b_1.symb,0.208915373011894,b_1.symb
b_2.symb,-0.0078687421636199,b_2.symb
b_1.apo,0.175327392085117,b_1.apo
b_2.apo,-0.0246054114443268,b_2.apo
b_1.symb,0.149353323221168,b_1.symb
b_2.symb,-0.0177699409152352,b_2.symb
b_1.apo,0.200202780024808,b_1.apo
b_2.apo,-0.0237307355228837,b_2.apo
b_1.symb,0.224535388653201,b_1.symb
b_2.symb,-0.0068432319188563,b_2.symb
b_1.apo,0.19102604659439,b_1.apo
b_2.apo,-0.02326495233934,b_2.apo
b_1.symb,0.150977726528991,b_1.symb
b_2.symb,-0.0093231061178426,b_2.symb
b_1.apo,0.181375411476158,b_1.apo
b_2.apo,-0.0273298452386406,b_2.apo
b_1.symb,0.13738577608501,b_1.symb
b_2.symb,-0.0095460602260194,b_2.symb
b_1.apo,0.205039957456458,b_1.apo
b_2.apo,-0.0244895724493029,b_2.apo
b_1.symb,0.255583486227395,b_1.symb
b_2.symb,-0.0095647609131889,b_2.symb
b_1.apo,0.156199049794787,b_1.apo
b_2.apo,-0.02364681621021,b_2.apo
b_1.symb,0.226977313208154,b_1.symb
b_2.symb,-0.0048309570327614,b_2.symb
b_1.apo,0.198333184584382,b_1.apo
b_2.apo,-0.0237165287726485,b_2.apo
b_1.symb,0.143528797213345,b_1.symb
b_2.symb,-0.0132418797875542,b_2.symb
b_1.apo,0.188469565359425,b_1.apo
b_2.apo,-0.0238140196376434,b_2.apo
b_1.symb,0.144655690115188,b_1.symb
b_2.symb,-0.0091681891559334,b_2.symb
b_1.apo,0.164295693855841,b_1.apo
b_2.apo,-0.0222006797639942,b_2.apo
b_1.symb,0.144769789771195,b_1.symb
b_2.symb,-0.0099777005748097,b_2.symb
b_1.apo,0.198846405913181,b_1.apo
b_2.apo,-0.0246181864383857,b_2.apo
b_1.symb,0.138358107705234,b_1.symb
b_2.symb,-0.0119283202518445,b_2.symb
b_1.apo,0.166932919535206,b_1.apo
b_2.apo,-0.0289034034061929,b_2.apo
b_1.symb,0.138760522236345,b_1.symb
b_2.symb,-0.0080186825152063,b_2.symb
b_1.apo,0.114508640249498,b_1.apo
b_2.apo,-0.032107898981177,b_2.apo
b_1.symb,0.22019710673854,b_1.symb
b_2.symb,-0.0035413820558014,b_2.symb
b_1.apo,0.191105338167671,b_1.apo
b_2.apo,-0.027037194690434,b_2.apo
b_1.symb,0.186324962617133,b_1.symb
b_2.symb,-0.0065238921481583,b_2.symb
b_1.apo,0.218084652377452,b_1.apo
b_2.apo,-0.0249116744554542,b_2.apo
b_1.symb,0.148408213392846,b_1.symb
b_2.symb,-0.0124187632610413,b_2.symb
b_1.apo,0.188534448519204,b_1.apo
b_2.apo,-0.026476394520398,b_2.apo
b_1.symb,0.144961768739702,b_1.symb
b_2.symb,-0.0109746347067639,b_2.symb
b_1.apo,0.182333449481138,b_1.apo
b_2.apo,-0.0236373744388032,b_2.apo
b_1.symb,0.148165964300928,b_1.symb
b_2.symb,-0.0076210307650002,b_2.symb
b_1.apo,0.174983442879449,b_1.apo
b_2.apo,-0.0263387112379569,b_2.apo
b_1.symb,0.154072282512772,b_1.symb
b_2.symb,-0.013666541585295,b_2.symb
b_1.apo,0.209143845567692,b_1.apo
b_2.apo,-0.0222864283179585,b_2.apo
b_1.symb,0.139944389380885,b_1.symb
b_2.symb,-0.0126743585206119,b_2.symb
b_1.apo,0.182223009614711,b_1.apo
b_2.apo,-0.0276292927608135,b_2.apo
b_1.symb,0.141464782449789,b_1.symb
b_2.symb,-0.0130542679018556,b_2.symb
b_1.apo,0.143866258039249,b_1.apo
b_2.apo,-0.0246535413985685,b_2.apo
b_1.symb,0.207734888380997,b_1.symb
b_2.symb,-0.0092963241163927,b_2.symb
b_1.apo,0.183771595466257,b_1.apo
b_2.apo,-0.0260243656626481,b_2.apo
b_1.symb,0.143655402003854,b_1.symb
b_2.symb,-0.0103321984235179,b_2.symb
b_1.apo,0.181392192419141,b_1.apo
b_2.apo,-0.0245561317476072,b_2.apo
b_1.symb,0.138611475095448,b_1.symb
b_2.symb,-0.0140125546956162,b_2.symb
b_1.apo,0.181179672552237,b_1.apo
b_2.apo,-0.0270260567409425,b_2.apo
b_1.symb,0.143895615759351,b_1.symb
b_2.symb,-0.0122066044569571,b_2.symb
b_1.apo,0.199191390748579,b_1.apo
b_2.apo,-0.0286154088289721,b_2.apo
b_1.symb,0.13723250292888,b_1.symb
b_2.symb,-0.0128719744966081,b_2.symb
b_1.apo,0.18904205499611,b_1.apo
b_2.apo,-0.0260266816908034,b_2.apo
b_1.symb,0.191794161021444,b_1.symb
b_2.symb,-0.0052820733719655,b_2.symb
b_1.apo,0.192683065722999,b_1.apo
b_2.apo,-0.0269832605568111,b_2.apo
b_1.symb,0.14103052457847,b_1.symb
b_2.symb,-0.0126693495094693,b_2.symb
b_1.apo,0.17914588737499,b_1.apo
b_2.apo,-0.0234811680903807,b_2.apo
b_1.symb,0.141096707335596,b_1.symb
b_2.symb,-0.0083577284855497,b_2.symb
b_1.apo,0.182575649204214,b_1.apo
b_2.apo,-0.0265423485486729,b_2.apo
b_1.symb,0.222596024080743,b_1.symb
b_2.symb,-0.0084785674580775,b_2.symb
b_1.apo,0.21559592481908,b_1.apo
b_2.apo,-0.0249334305924739,b_2.apo
b_1.symb,0.209635685557097,b_1.symb
b_2.symb,-0.0084531653591354,b_2.symb
b_1.apo,0.21827499763825,b_1.apo
b_2.apo,-0.0270031854436463,b_2.apo
b_1.symb,0.149333023105012,b_1.symb
b_2.symb,-0.0096288521285195,b_2.symb
b_1.apo,0.178297372686435,b_1.apo
b_2.apo,-0.0244655590042374,b_2.apo
b_1.symb,0.14091694500447,b_1.symb
b_2.symb,-0.0138423906651923,b_2.symb
b_1.apo,0.156152457305307,b_1.apo
b_2.apo,-0.0246009905233613,b_2.apo
b_1.symb,0.143535158175099,b_1.symb
b_2.symb,-0.01456772555155,b_2.symb
b_1.apo,0.192115110575602,b_1.apo
