,Boots value,Legend
b_1.long.starvation..ii.,-0.0273286623933335,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0319276071244662,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0006420244329012,b_3.long.starvation..ii.
b_1.0.21d,0.239245047824852,b_1.0.21d
b_2.0.21d,-0.0231807806891937,b_2.0.21d
b_1.0.21d.cell.number,0.404205144297111,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.101069045541943,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0712216057570293,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0439852463336011,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.028112322930358,b_3.0.21d.cell.size
b_1.AL,0.246731346955421,b_1.AL
b_2.AL,-0.0230989890515521,b_2.AL
b_3.AL,0.061857981720903,b_3.AL
b_4.AL,-0.0230979572844547,b_4.AL
b_1.RES,0.174225876860482,b_1.RES
b_2.RES,-0.0283114854424341,b_2.RES
b_3.RES,0.0873730893608667,b_3.RES
b_4.RES,-0.0260726328878746,b_4.RES
b_1.long.starvation..ii.,-0.03367820479094,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0339072764164701,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0018602996213127,b_3.long.starvation..ii.
b_1.0.21d,0.209143589845902,b_1.0.21d
b_2.0.21d,-0.0233982238824743,b_2.0.21d
b_1.0.21d.cell.number,0.310906160645891,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.11057867123463,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.202863694649242,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0398547368272272,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0668722008135446,b_3.0.21d.cell.size
b_1.AL,0.361459267188219,b_1.AL
b_2.AL,-0.0222121627555615,b_2.AL
b_3.AL,0.0720475829808217,b_3.AL
b_4.AL,-0.0209417394186496,b_4.AL
b_1.RES,0.204319558925543,b_1.RES
b_2.RES,-0.0386494093573881,b_2.RES
b_3.RES,0.0676698824819175,b_3.RES
b_4.RES,-0.0235610277401926,b_4.RES
b_1.long.starvation..ii.,-0.0217907549093875,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0099040570931441,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0025644932475679,b_3.long.starvation..ii.
b_1.0.21d,0.267221755529949,b_1.0.21d
b_2.0.21d,-0.0158463900136719,b_2.0.21d
b_1.0.21d.cell.number,0.260749327007788,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.100873294217849,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0649304298136655,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0754859971259625,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.00456335578133,b_3.0.21d.cell.size
b_1.AL,0.256636706206948,b_1.AL
b_2.AL,-0.0203374954980104,b_2.AL
b_3.AL,0.0953448232527161,b_3.AL
b_4.AL,-0.0220563645080201,b_4.AL
b_1.RES,0.250395064705081,b_1.RES
b_2.RES,-0.0382340399724402,b_2.RES
b_3.RES,0.0441673694474404,b_3.RES
b_4.RES,-0.0151672673881604,b_4.RES
b_1.long.starvation..ii.,-0.0966264837731252,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0287272999016864,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0003501715445927,b_3.long.starvation..ii.
b_1.0.21d,0.174804995053011,b_1.0.21d
b_2.0.21d,-0.0173274879506649,b_2.0.21d
b_1.0.21d.cell.number,0.650255307098881,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0937640347960451,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.021993626732522,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0464524368996403,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0206075543556278,b_3.0.21d.cell.size
b_1.AL,0.324983124534194,b_1.AL
b_2.AL,-0.0175972421159231,b_2.AL
b_3.AL,0.0753551020016341,b_3.AL
b_4.AL,-0.0221324648856183,b_4.AL
b_1.RES,0.1384394402621,b_1.RES
b_2.RES,-0.0051530973921899,b_2.RES
b_3.RES,-0.0101682742521019,b_3.RES
b_4.RES,-0.009634369950569,b_4.RES
b_1.long.starvation..ii.,-0.0296396569983675,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0121920572274801,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0042755678834518,b_3.long.starvation..ii.
b_1.0.21d,0.360878841013807,b_1.0.21d
b_2.0.21d,-0.0318708176709575,b_2.0.21d
b_1.0.21d.cell.number,0.255702396652444,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0902561441487506,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0648775357881873,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0429731945556653,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0408863164153211,b_3.0.21d.cell.size
b_1.AL,0.23132160816521,b_1.AL
b_2.AL,-0.0239578802050384,b_2.AL
b_3.AL,0.0575151427888663,b_3.AL
b_4.AL,-0.0243077679635069,b_4.AL
b_1.RES,0.119678573396864,b_1.RES
b_2.RES,-0.0403831107825554,b_2.RES
b_3.RES,0.0331952592084034,b_3.RES
b_4.RES,-0.0211656104269129,b_4.RES
b_1.long.starvation..ii.,-0.0668473186624916,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0270816216142449,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0016441783310059,b_3.long.starvation..ii.
b_1.0.21d,0.298451891311389,b_1.0.21d
b_2.0.21d,-0.0247285715081588,b_2.0.21d
b_1.0.21d.cell.number,0.743787359453648,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0982124444944746,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.153380912887933,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0401207127735893,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0124192355821847,b_3.0.21d.cell.size
b_1.AL,0.31742889680171,b_1.AL
b_2.AL,-0.0201498281055545,b_2.AL
b_3.AL,0.0367591667621639,b_3.AL
b_4.AL,-0.0263054993382371,b_4.AL
b_1.RES,0.184003281375972,b_1.RES
b_2.RES,-0.0415939207187071,b_2.RES
b_3.RES,0.0400807913599702,b_3.RES
b_4.RES,-0.0242819565312645,b_4.RES
b_1.long.starvation..ii.,-0.028465167760813,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0314649551157533,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0001396739949985,b_3.long.starvation..ii.
b_1.0.21d,0.142225584594584,b_1.0.21d
b_2.0.21d,-0.0125088384588776,b_2.0.21d
b_1.0.21d.cell.number,0.281579210778245,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0860378412130349,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0134815903051766,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0587958323385767,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0779964239538497,b_3.0.21d.cell.size
b_1.AL,0.428852142169592,b_1.AL
b_2.AL,-0.0250927995432327,b_2.AL
b_3.AL,0.0724599891094538,b_3.AL
b_4.AL,-0.0266505919795072,b_4.AL
