,day,symbiosis,individual,name,pxl,mm2,condition,log body size
38,0,sym,p4,1,20453,4.51,fed,1.506297153514587
39,0,sym,p4,2,10238,2.26,fed,0.8153648132841944
40,0,sym,p4,3,20666,4.55,fed,1.5151272329628591
41,0,sym,p4,4,15859,3.49,fed,1.2499017362143359
42,0,sym,p4,5,15109,3.33,fed,1.2029723039923526
43,0,sym,p4,6,21905,4.83,fed,1.5748464676644813
44,0,sym,p4,7,18650,4.11,fed,1.4134230285081433
45,0,sym,p4,8,12536,2.76,fed,1.0152306797290584
46,0,sym,p4,9,15444,3.4,fed,1.2237754316221157
47,0,sym,p4,10,43674,9.62,fed,2.263844264677615
48,0,sym,p4,11,30631,6.75,fed,1.9095425048844386
49,0,sym,p4,12,12969,2.86,fed,1.0508216248317612
50,0,sym,p4,13,22487,4.95,fed,1.599387576580599
51,0,sym,p4,14,9505,2.09,fed,0.7371640659767196
52,0,sym,p5,1,34924,7.7,fed,2.0412203288596382
53,0,sym,p5,2,25486,5.62,fed,1.7263316639055997
54,0,sym,p5,3,15447,3.4,fed,1.2237754316221157
55,0,sym,p5,4,17501,3.86,fed,1.3506671834767394
56,0,sym,p5,5,24422,5.38,fed,1.682688374173693
57,0,sym,p5,6,23314,5.14,fed,1.6370530794670737
58,0,sym,p5,7,22022,4.85,fed,1.5789787049493917
59,0,sym,p5,8,11728,2.58,fed,0.9477893989335261
60,0,sym,p5,9,15253,3.36,fed,1.2119409739751128
61,0,sym,p5,10,24524,5.4,fed,1.6863989535702288
62,0,sym,p5,11,12328,2.72,fed,1.000631880307906
63,0,sym,p5,12,11890,2.62,fed,0.9631743177730056
64,0,sym,p5,13,11173,2.46,fed,0.9001613499442714
65,0,sym,p5,14,26008,5.73,fed,1.7457155307266483
66,0,sym,p5,15,22185,4.89,fed,1.5871923034867805
67,0,sym,p5,16,20801,4.58,fed,1.5216989981260935
68,0,sym,p5,17,21472,4.73,fed,1.5539252025038417
69,0,sym,p5,18,20622,4.54,fed,1.5129270120532565
70,0,sym,p5,19,9902,2.18,fed,0.7793248768009977
71,0,sym,p5,20,18743,4.13,fed,1.4182774069729414
72,0,sym,p6,1,11486,2.53,fed,0.9282193027394288
73,0,sym,p6,2,12747,2.81,fed,1.0331844833456545
74,0,sym,p6,3,13374,2.95,fed,1.0818051703517284
75,0,sym,p6,4,15434,3.4,fed,1.2237754316221157
76,0,sym,p6,5,24553,5.41,fed,1.6882490928583902
77,0,sym,p6,6,9708,2.14,fed,0.7608058290337602
78,0,sym,p6,7,11126,2.45,fed,0.8960880245566357
79,0,sym,p6,8,13857,3.05,fed,1.1151415906193203
80,0,sym,p6,9,23711,5.22,fed,1.6524974018945473
81,0,sym,p6,10,16377,3.61,fed,1.2837077723447896
82,0,sym,p6,11,15803,3.48,fed,1.247032293786383
83,0,sym,p6,12,16988,3.74,fed,1.3190856114264407
84,0,sym,p6,13,15718,3.46,fed,1.2412685890696329
85,0,sym,p6,14,15608,3.44,fed,1.235471471385307
86,0,sym,p6,15,14452,3.18,fed,1.1568811967920856
87,0,sym,p6,16,14573,3.21,fed,1.1662709371419244
140,7,sym,p3,1,105960,23.35,fed,3.150596984114906
141,7,sym,p4,2,52824,11.64,fed,2.454447442303292
142,7,sym,p4,3,90922,20.03,fed,2.997231149677727
143,7,sym,p4,4,47660,10.5,fed,2.3513752571634776
144,7,sym,p4,5,87715,19.33,fed,2.9616582932202395
145,7,sym,p4,6,82113,18.09,fed,2.895359299407204
146,7,sym,p4,7,150683,33.2,fed,3.502549875922443
147,7,sym,p4,8,91861,20.24,fed,3.0076608444192647
148,7,sym,p4,9,77752,17.13,fed,2.8408313123360287
149,7,sym,p4,10,31888,7.03,fed,1.9501867058225735
150,7,sym,p4,11,121483,26.77,fed,3.2872818575322613
151,7,sym,p4,12,77516,17.08,fed,2.837908188360424
152,7,sym,p4,13,52471,11.56,fed,2.4475508632442313
153,7,sym,p4,14,61692,13.59,fed,2.6093342281630525
154,7,sym,p4,15,83339,18.36,fed,2.9101743851923443
155,7,sym,p4,16,32958,7.26,fed,1.9823798288367047
156,7,sym,p4,17,50922,11.22,fed,2.4176979000945504
157,7,sym,p5,1,41893,9.23,fed,2.222459048514761
158,7,sym,p5,2,78408,17.28,fed,2.8495497633759097
159,7,sym,p5,1,61546,13.56,fed,2.6071242825122494
160,7,sym,p5,2,101744,22.42,fed,3.109953417644014
161,7,sym,p5,3,51433,11.33,fed,2.427454075039915
162,7,sym,p5,4,108160,23.83,fed,3.170945291110651
163,7,sym,p5,5,77140,17.0,fed,2.833213344056216
164,7,sym,p5,6,52251,11.51,fed,2.4432162227337915
165,7,sym,p5,7,101710,22.41,fed,3.1095072878128356
166,7,sym,p5,8,68770,15.15,fed,2.7180005319553784
167,7,sym,p5,9,134852,29.71,fed,3.391483689474516
168,7,sym,p5,10,60131,13.25,fed,2.583997552432231
169,7,sym,p5,11,69497,15.31,fed,2.7285062096695922
170,7,sym,p5,12,82734,18.23,fed,2.9030685886905716
171,7,sym,p5,1,138112,30.43,fed,3.4154289639088797
172,7,sym,p6,2,119399,26.31,fed,3.269949095052201
173,7,sym,p6,3,31607,6.96,fed,1.9401794743463283
174,7,sym,p6,4,30570,6.74,fed,1.9080599249242156
175,7,sym,p6,5,44778,9.87,fed,2.28949985344539
176,7,sym,p6,6,174293,38.4,fed,3.648057459593681
177,7,sym,p6,7,65717,14.48,fed,2.6727683869575705
178,7,sym,p6,8,55747,12.28,fed,2.5079719227189963
179,7,sym,p6,9,60315,13.29,fed,2.587011872725154
180,7,sym,p6,10,38854,8.56,fed,2.1471001901536506
181,7,sym,p6,11,82845,18.25,fed,2.9041650800285006
182,7,sym,p6,12,180667,39.81,fed,3.684118137012226
183,7,sym,p6,13,123244,27.16,fed,3.3017453026904953
184,7,sym,p6,14,144820,31.91,fed,3.462919440290152
185,7,sym,p6,15,69480,15.31,fed,2.7285062096695922
186,7,sym,p6,16,72183,15.9,fed,2.766319109226186
187,7,sym,p6,17,160016,35.26,fed,3.562749176969724
188,7,sym,p6,18,32368,7.13,fed,1.9643112344262046
189,7,sym,p6,19,81721,18.01,fed,2.8909271591878647
190,7,sym,p6,20,77015,16.97,fed,2.831447079246135
191,7,sym,p6,21,134370,29.61,fed,3.3881121421135
192,7,sym,p6,22,174825,38.52,fed,3.651177586929925
247,14,sym,p4,1,291645,64.26,fed,4.162937353687712
248,14,sym,p4,2,213543,47.05,fed,3.8512108660313884
249,14,sym,p4,3,256817,56.59,fed,4.035832291154432
250,14,sym,p4,4,254446,56.06,fed,4.026422545736642
251,14,sym,p4,5,217778,47.98,fed,3.8707842574115485
252,14,sym,p4,6,238012,52.44,fed,3.959669658895499
253,14,sym,p4,7,316207,69.67,fed,4.2437698090420275
254,14,sym,p4,8,76449,16.84,fed,2.8237570088141806
255,14,sym,p4,9,182076,40.12,fed,3.691874963093735
256,14,sym,p4,10,128958,28.41,fed,3.3467411958660964
257,14,sym,p4,11,242554,53.44,fed,3.97855952922839
258,14,sym,p4,12,145729,32.11,fed,3.4691675081014224
259,14,sym,p4,13,107064,23.59,fed,3.1608228934195837
260,14,sym,p4,14,346646,76.38,fed,4.3357208817973705
261,14,sym,p4,15,116636,25.7,fed,3.246490991901174
262,14,sym,p4,16,107087,23.6,fed,3.1612467120315646
263,14,sym,p4,17,174271,38.4,fed,3.648057459593681
264,14,sym,p4,18,194612,42.88,fed,3.7584055167625467
265,14,sym,p4,19,222455,49.02,fed,3.8922283780999667
266,14,sym,p4,20,125740,27.71,fed,3.321793358874887
267,14,sym,p5,1,144608,31.86,fed,3.4613513044819024
268,14,sym,p5,2,290767,64.07,fed,4.15997623565093
269,14,sym,p5,3,57604,12.69,fed,2.540814281726296
270,14,sym,p5,4,274448,60.47,fed,4.1021473742851216
271,14,sym,p5,5,60747,13.38,fed,2.5937610547000824
272,14,sym,p5,6,74334,16.38,fed,2.7960610784249234
