,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3360,Cyclicfeeding_starving,0,P1_1,1.45,AL,FED,0,0.371563556432483
3361,Cyclicfeeding_starving,0,P1_2,1.24,AL,FED,0,0.2151113796169455
3362,Cyclicfeeding_starving,0,P1_3,1.97,AL,FED,0,0.6780335427498971
3363,Cyclicfeeding_starving,0,P1_4,1.39,AL,FED,0,0.3293037471426003
3364,Cyclicfeeding_starving,0,P1_5,1.85,AL,FED,0,0.6151856390902335
3365,Cyclicfeeding_starving,0,P1_6,1.31,AL,FED,0,0.2700271372130602
3408,Cyclicfeeding_starving,0,P2_1,1.98,AL,FED,0,0.6830968447064438
3409,Cyclicfeeding_starving,0,P2_2,1.78,AL,FED,0,0.5766133643039938
3410,Cyclicfeeding_starving,0,P2_3,1.58,AL,FED,0,0.4574248470388755
3411,Cyclicfeeding_starving,0,P2_4,0.66,AL,FED,0,-0.4155154439616658
3412,Cyclicfeeding_starving,0,P2_5,1.21,AL,FED,0,0.1906203596086497
3413,Cyclicfeeding_starving,0,P2_6,1.54,AL,FED,0,0.43178241642553783
3414,Cyclicfeeding_starving,0,P3_1,1.73,AL,FED,0,0.5481214085096876
3415,Cyclicfeeding_starving,0,P3_2,1.29,AL,FED,0,0.25464221837358075
3416,Cyclicfeeding_starving,0,P3_3,1.06,AL,FED,0,0.058268908123975824
3417,Cyclicfeeding_starving,0,P3_4,1.55,AL,FED,0,0.4382549309311553
3418,Cyclicfeeding_starving,0,P3_5,0.85,AL,FED,0,-0.16251892949777494
3419,Cyclicfeeding_starving,0,P3_6,1.04,AL,FED,0,0.03922071315328133
3420,Cyclicfeeding_starving,0,P4_1,1.46,AL,FED,0,0.37843643572024505
3421,Cyclicfeeding_starving,0,P4_2,1.24,AL,FED,0,0.2151113796169455
3422,Cyclicfeeding_starving,0,P4_3,1.39,AL,FED,0,0.3293037471426003
3423,Cyclicfeeding_starving,0,P4_4,1.41,AL,FED,0,0.34358970439007686
3424,Cyclicfeeding_starving,0,P4_5,1.33,AL,FED,0,0.28517894223366247
3425,Cyclicfeeding_starving,0,P4_6,1.77,AL,FED,0,0.5709795465857378
3426,Cyclicfeeding_starving,0,P5_1,1.19,AL,FED,0,0.17395330712343798
3427,Cyclicfeeding_starving,0,P5_2,1.24,AL,FED,0,0.2151113796169455
3428,Cyclicfeeding_starving,0,P5_3,1.69,AL,FED,0,0.5247285289349821
3429,Cyclicfeeding_starving,0,P5_4,2.22,AL,FED,0,0.7975071958841882
3430,Cyclicfeeding_starving,0,P5_5,1.48,AL,FED,0,0.3920420877760237
3431,Cyclicfeeding_starving,0,P5_6,1.04,AL,FED,0,0.03922071315328133
3432,Cyclicfeeding_starving,0,P6_1,1.7,AL,FED,0,0.5306282510621704
3433,Cyclicfeeding_starving,0,P6_2,1.01,AL,FED,0,0.009950330853168092
3434,Cyclicfeeding_starving,0,P6_3,1.36,AL,FED,0,0.3074846997479607
3435,Cyclicfeeding_starving,0,P6_4,0.78,AL,FED,0,-0.2484613592984996
3436,Cyclicfeeding_starving,0,P6_5,1.34,AL,FED,0,0.29266961396282004
3437,Cyclicfeeding_starving,0,P6_6,0.71,AL,FED,0,-0.342490308946776
3438,Cyclicfeeding_starving,0,P7_1,1.89,AL,FED,0,0.636576829071551
3439,Cyclicfeeding_starving,0,P7_2,1.28,AL,FED,0,0.2468600779315258
3440,Cyclicfeeding_starving,0,P7_3,1.23,AL,FED,0,0.20701416938432612
3441,Cyclicfeeding_starving,0,P7_4,0.86,AL,FED,0,-0.15082288973458366
3442,Cyclicfeeding_starving,0,P7_5,0.79,AL,FED,0,-0.23572233352106983
3443,Cyclicfeeding_starving,0,P7_6,0.79,AL,FED,0,-0.23572233352106983
3444,Cyclicfeeding_starving,0,P8_1,1.06,AL,FED,0,0.058268908123975824
3445,Cyclicfeeding_starving,0,P8_2,1.16,AL,FED,0,0.14842000511827322
3446,Cyclicfeeding_starving,0,P8_3,0.87,AL,FED,0,-0.13926206733350766
3447,Cyclicfeeding_starving,0,P8_4,1.24,AL,FED,0,0.2151113796169455
3448,Cyclicfeeding_starving,0,P8_5,1.5,AL,FED,0,0.4054651081081644
3449,Cyclicfeeding_starving,0,P8_6,1.01,AL,FED,0,0.009950330853168092
3456,Cyclicfeeding_starving,2,P1_1,1.68,AL,FED,2,0.5187937934151675
3457,Cyclicfeeding_starving,2,P1_2,1.16,AL,FED,2,0.14842000511827322
3458,Cyclicfeeding_starving,2,P1_3,1.66,AL,FED,2,0.5068176023684519
3459,Cyclicfeeding_starving,2,P1_4,1.51,AL,FED,2,0.412109650826833
3460,Cyclicfeeding_starving,2,P1_5,1.53,AL,FED,2,0.4252677354043441
3461,Cyclicfeeding_starving,2,P1_6,1.64,AL,FED,2,0.494696241836107
3504,Cyclicfeeding_starving,2,P2_1,1.29,AL,FED,2,0.25464221837358075
3505,Cyclicfeeding_starving,2,P2_2,1.83,AL,FED,2,0.6043159668533296
3506,Cyclicfeeding_starving,2,P2_3,2.06,AL,FED,2,0.7227059828014898
3507,Cyclicfeeding_starving,2,P2_4,0.74,AL,FED,2,-0.3011050927839216
3508,Cyclicfeeding_starving,2,P2_5,0.9,AL,FED,2,-0.10536051565782628
3509,Cyclicfeeding_starving,2,P2_6,1.74,AL,FED,2,0.5538851132264376
3510,Cyclicfeeding_starving,2,P3_1,2.18,AL,FED,2,0.7793248768009977
3511,Cyclicfeeding_starving,2,P3_2,2.29,AL,FED,2,0.8285518175661483
3512,Cyclicfeeding_starving,2,P3_3,2.21,AL,FED,2,0.7929925155296614
3513,Cyclicfeeding_starving,2,P3_4,2.62,AL,FED,2,0.9631743177730056
3514,Cyclicfeeding_starving,2,P3_5,1.1,AL,FED,2,0.09531017980432493
3515,Cyclicfeeding_starving,2,P3_6,1.42,AL,FED,2,0.35065687161316933
3516,Cyclicfeeding_starving,2,P4_1,1.77,AL,FED,2,0.5709795465857378
3517,Cyclicfeeding_starving,2,P4_2,1.49,AL,FED,2,0.3987761199573678
3518,Cyclicfeeding_starving,2,P4_3,1.2,AL,FED,2,0.1823215567939546
3519,Cyclicfeeding_starving,2,P4_4,1.8,AL,FED,2,0.5877866649021191
3520,Cyclicfeeding_starving,2,P4_5,1.65,AL,FED,2,0.5007752879124892
3521,Cyclicfeeding_starving,2,P4_6,1.8,AL,FED,2,0.5877866649021191
3522,Cyclicfeeding_starving,2,P5_1,1.01,AL,FED,2,0.009950330853168092
3523,Cyclicfeeding_starving,2,P5_2,0.94,AL,FED,2,-0.06187540371808753
3524,Cyclicfeeding_starving,2,P5_3,2.01,AL,FED,2,0.6981347220709843
3525,Cyclicfeeding_starving,2,P5_4,1.8,AL,FED,2,0.5877866649021191
3526,Cyclicfeeding_starving,2,P5_5,2.16,AL,FED,2,0.7701082216960737
3527,Cyclicfeeding_starving,2,P5_6,1.37,AL,FED,2,0.3148107398400336
3528,Cyclicfeeding_starving,2,P6_1,2.2,AL,FED,2,0.7884573603642703
3529,Cyclicfeeding_starving,2,P6_2,2.01,AL,FED,2,0.6981347220709843
3530,Cyclicfeeding_starving,2,P6_3,1.95,AL,FED,2,0.6678293725756554
3531,Cyclicfeeding_starving,2,P6_4,1.69,AL,FED,2,0.5247285289349821
3532,Cyclicfeeding_starving,2,P6_5,2.21,AL,FED,2,0.7929925155296614
3533,Cyclicfeeding_starving,2,P6_6,0.84,AL,FED,2,-0.1743533871447778
3534,Cyclicfeeding_starving,2,P7_1,2.12,AL,FED,2,0.7514160886839212
3535,Cyclicfeeding_starving,2,P7_2,1.45,AL,FED,2,0.371563556432483
3536,Cyclicfeeding_starving,2,P7_3,2.34,AL,FED,2,0.85015092936961
3537,Cyclicfeeding_starving,2,P7_4,1.06,AL,FED,2,0.058268908123975824
3538,Cyclicfeeding_starving,2,P7_5,1.37,AL,FED,2,0.3148107398400336
3539,Cyclicfeeding_starving,2,P7_6,0.85,AL,FED,2,-0.16251892949777494
3540,Cyclicfeeding_starving,2,P8_1,1.02,AL,FED,2,0.01980262729617973
3541,Cyclicfeeding_starving,2,P8_2,1.63,AL,FED,2,0.4885800148186709
3542,Cyclicfeeding_starving,2,P8_3,0.94,AL,FED,2,-0.06187540371808753
3543,Cyclicfeeding_starving,2,P8_4,2.15,AL,FED,2,0.7654678421395714
3544,Cyclicfeeding_starving,2,P8_5,2.91,AL,FED,2,1.0681530811834012
3545,Cyclicfeeding_starving,2,P8_6,1.19,AL,FED,2,0.17395330712343798
3552,Cyclicfeeding_starving,4,P1_1,4.16,AL,FED,4,1.425515074273172
3553,Cyclicfeeding_starving,4,P1_2,2.91,AL,FED,4,1.0681530811834012
3554,Cyclicfeeding_starving,4,P1_3,5.39,AL,FED,4,1.6845453849209058
3555,Cyclicfeeding_starving,4,P1_4,4.22,AL,FED,4,1.4398351280479205
3556,Cyclicfeeding_starving,4,P1_5,6.11,AL,FED,4,1.809926773183504
3557,Cyclicfeeding_starving,4,P1_6,3.01,AL,FED,4,1.1019400787607843
3600,Cyclicfeeding_starving,4,P2_1,4.33,AL,FED,4,1.4655675420143985
3601,Cyclicfeeding_starving,4,P2_2,5.08,AL,FED,4,1.6253112615903906
3602,Cyclicfeeding_starving,4,P2_3,5.11,AL,FED,4,1.631199404215613
3603,Cyclicfeeding_starving,4,P2_4,1.83,AL,FED,4,0.6043159668533296
3604,Cyclicfeeding_starving,4,P2_5,3.13,AL,FED,4,1.1410330045520618
3605,Cyclicfeeding_starving,4,P2_6,4.38,AL,FED,4,1.4770487243883548
3606,Cyclicfeeding_starving,4,P3_1,4.8,AL,FED,4,1.5686159179138452
3607,Cyclicfeeding_starving,4,P3_2,4.3,AL,FED,4,1.4586150226995167
3608,Cyclicfeeding_starving,4,P3_3,5.36,AL,FED,4,1.6789639750827108
3609,Cyclicfeeding_starving,4,P3_4,5.12,AL,FED,4,1.6331544390514163
3610,Cyclicfeeding_starving,4,P3_5,2.44,AL,FED,4,0.8919980393051105
3611,Cyclicfeeding_starving,4,P3_6,2.34,AL,FED,4,0.85015092936961
3612,Cyclicfeeding_starving,4,P4_1,4.58,AL,FED,4,1.5216989981260935
3613,Cyclicfeeding_starving,4,P4_2,3.36,AL,FED,4,1.2119409739751128
3614,Cyclicfeeding_starving,4,P4_3,3.55,AL,FED,4,1.2669476034873244
3615,Cyclicfeeding_starving,4,P4_4,3.39,AL,FED,4,1.220829921392359
3616,Cyclicfeeding_starving,4,P4_5,2.89,AL,FED,4,1.0612565021243408
3617,Cyclicfeeding_starving,4,P4_6,3.22,AL,FED,4,1.169381359556317
3618,Cyclicfeeding_starving,4,P5_1,3.18,AL,FED,4,1.1568811967920856
3619,Cyclicfeeding_starving,4,P5_2,2.84,AL,FED,4,1.0438040521731147
3620,Cyclicfeeding_starving,4,P5_3,3.8,AL,FED,4,1.33500106673234
3621,Cyclicfeeding_starving,4,P5_4,4.81,AL,FED,4,1.5706970841176697
3622,Cyclicfeeding_starving,4,P5_5,5.26,AL,FED,4,1.6601310267496185
3623,Cyclicfeeding_starving,4,P5_6,2.86,AL,FED,4,1.0508216248317612
3624,Cyclicfeeding_starving,4,P6_1,6.52,AL,FED,4,1.8748743759385615
3625,Cyclicfeeding_starving,4,P6_2,3.68,AL,FED,4,1.3029127521808397
3626,Cyclicfeeding_starving,4,P6_3,3.36,AL,FED,4,1.2119409739751128
3627,Cyclicfeeding_starving,4,P6_4,2.12,AL,FED,4,0.7514160886839212
3628,Cyclicfeeding_starving,4,P6_5,3.9,AL,FED,4,1.3609765531356006
3629,Cyclicfeeding_starving,4,P6_6,2.72,AL,FED,4,1.000631880307906
3630,Cyclicfeeding_starving,4,P7_1,4.67,AL,FED,4,1.541159071680806
3631,Cyclicfeeding_starving,4,P7_2,2.4,AL,FED,4,0.8754687373538999
3632,Cyclicfeeding_starving,4,P7_3,3.69,AL,FED,4,1.3056264580524357
3633,Cyclicfeeding_starving,4,P7_4,3.11,AL,FED,4,1.1346227261911428
3634,Cyclicfeeding_starving,4,P7_5,2.78,AL,FED,4,1.0224509277025455
3635,Cyclicfeeding_starving,4,P7_6,2.87,AL,FED,4,1.0543120297715298
3636,Cyclicfeeding_starving,4,P8_1,4.17,AL,FED,4,1.4279160358107101
3637,Cyclicfeeding_starving,4,P8_2,4.83,AL,FED,4,1.5748464676644813
3638,Cyclicfeeding_starving,4,P8_3,2.12,AL,FED,4,0.7514160886839212
3639,Cyclicfeeding_starving,4,P8_4,4.9,AL,FED,4,1.589235205116581
3640,Cyclicfeeding_starving,4,P8_5,4.23,AL,FED,4,1.4422019930581866
3641,Cyclicfeeding_starving,4,P8_6,2.11,AL,FED,4,0.7466879474879751
3648,Cyclicfeeding_starving,6,P1_1,8.98,AL,FED,6,2.194999882314108
3649,Cyclicfeeding_starving,6,P1_2,5.98,AL,FED,6,1.7884205679625405
3650,Cyclicfeeding_starving,6,P1_3,7.05,AL,FED,6,1.9530276168241774
3651,Cyclicfeeding_starving,6,P1_4,6.14,AL,FED,6,1.814824742159051
3652,Cyclicfeeding_starving,6,P1_5,5.78,AL,FED,6,1.7544036826842861
3653,Cyclicfeeding_starving,6,P1_6,7.47,AL,FED,6,2.010894999144726
3696,Cyclicfeeding_starving,6,P2_1,6.26,AL,FED,6,1.8341801851120072
3697,Cyclicfeeding_starving,6,P2_2,9.63,AL,FED,6,2.2648832258100344
3698,Cyclicfeeding_starving,6,P2_3,7.27,AL,FED,6,1.9837562915454279
3699,Cyclicfeeding_starving,6,P2_4,3.15,AL,FED,6,1.1474024528375417
3700,Cyclicfeeding_starving,6,P2_5,7.15,AL,FED,6,1.9671123567059163
3701,Cyclicfeeding_starving,6,P2_6,7.75,AL,FED,6,2.0476928433652555
3702,Cyclicfeeding_starving,6,P3_1,7.3,AL,FED,6,1.9878743481543455
3703,Cyclicfeeding_starving,6,P3_2,9.59,AL,FED,6,2.2607208888953467
3704,Cyclicfeeding_starving,6,P3_3,9.68,AL,FED,6,2.2700619012884857
3705,Cyclicfeeding_starving,6,P3_4,10.49,AL,FED,6,2.3504224224082058
3706,Cyclicfeeding_starving,6,P3_5,4.27,AL,FED,6,1.451613827240533
3707,Cyclicfeeding_starving,6,P3_6,4.94,AL,FED,6,1.5973653311998313
3708,Cyclicfeeding_starving,6,P4_1,5.09,AL,FED,6,1.6272778305624314
3709,Cyclicfeeding_starving,6,P4_2,5.24,AL,FED,6,1.6563214983329508
3710,Cyclicfeeding_starving,6,P4_3,7.12,AL,FED,6,1.9629077254238845
3711,Cyclicfeeding_starving,6,P4_4,6.87,AL,FED,6,1.927164106234258
3712,Cyclicfeeding_starving,6,P4_5,7.76,AL,FED,6,2.048982334195127
3713,Cyclicfeeding_starving,6,P4_6,4.15,AL,FED,6,1.423108334242607
3714,Cyclicfeeding_starving,6,P5_1,6.95,AL,FED,6,1.9387416595767009
3715,Cyclicfeeding_starving,6,P5_2,8.16,AL,FED,6,2.0992441689760155
3716,Cyclicfeeding_starving,6,P5_3,8.33,AL,FED,6,2.1198634561787513
3717,Cyclicfeeding_starving,6,P5_4,8.02,AL,FED,6,2.081938421878423
3718,Cyclicfeeding_starving,6,P5_5,10.87,AL,FED,6,2.386006701133118
3719,Cyclicfeeding_starving,6,P5_6,8.16,AL,FED,6,2.0992441689760155
3720,Cyclicfeeding_starving,6,P6_1,6.71,AL,FED,6,1.9035989509835904
3721,Cyclicfeeding_starving,6,P6_2,6.45,AL,FED,6,1.864080130807681
3722,Cyclicfeeding_starving,6,P6_3,8.16,AL,FED,6,2.0992441689760155
3723,Cyclicfeeding_starving,6,P6_4,5.75,AL,FED,6,1.749199854809259
3724,Cyclicfeeding_starving,6,P6_5,7.05,AL,FED,6,1.9530276168241774
3725,Cyclicfeeding_starving,6,P6_6,5.12,AL,FED,6,1.6331544390514163
3726,Cyclicfeeding_starving,6,P7_1,11.22,AL,FED,6,2.4176979000945504
3727,Cyclicfeeding_starving,6,P7_2,5.0,AL,FED,6,1.6094379124341003
3728,Cyclicfeeding_starving,6,P7_3,9.74,AL,FED,6,2.2762411176544437
3729,Cyclicfeeding_starving,6,P7_4,6.32,AL,FED,6,1.843719208158766
3730,Cyclicfeeding_starving,6,P7_5,7.94,AL,FED,6,2.0719132752590443
3731,Cyclicfeeding_starving,6,P7_6,5.93,AL,FED,6,1.780024213009634
3732,Cyclicfeeding_starving,6,P8_1,4.59,AL,FED,6,1.5238800240724537
3733,Cyclicfeeding_starving,6,P8_2,9.77,AL,FED,6,2.2793164660546914
3734,Cyclicfeeding_starving,6,P8_3,6.28,AL,FED,6,1.8373699804801074
3735,Cyclicfeeding_starving,6,P8_4,6.87,AL,FED,6,1.927164106234258
3736,Cyclicfeeding_starving,6,P8_5,8.44,AL,FED,6,2.1329823086078656
3737,Cyclicfeeding_starving,6,P8_6,7.7,AL,FED,6,2.0412203288596382
3744,Cyclicfeeding_starving,8,P1_1,16.93,AL,FED,8,2.829087196145044
3745,Cyclicfeeding_starving,8,P1_2,15.18,AL,FED,8,2.719978771967484
3746,Cyclicfeeding_starving,8,P1_3,10.45,AL,FED,8,2.34660197841082
3747,Cyclicfeeding_starving,8,P1_4,8.6,AL,FED,8,2.151762203259462
3748,Cyclicfeeding_starving,8,P1_5,14.27,AL,FED,8,2.658159431488745
3749,Cyclicfeeding_starving,8,P1_6,14.2,AL,FED,8,2.653241964607215
3792,Cyclicfeeding_starving,8,P2_1,12.03,AL,FED,8,2.4874035299865875
3793,Cyclicfeeding_starving,8,P2_2,15.0,AL,FED,8,2.70805020110221
3794,Cyclicfeeding_starving,8,P2_3,9.44,AL,FED,8,2.244955980157409
3795,Cyclicfeeding_starving,8,P2_4,10.21,AL,FED,8,2.3233676321765744
3796,Cyclicfeeding_starving,8,P2_5,12.9,AL,FED,8,2.5572273113676265
3797,Cyclicfeeding_starving,8,P2_6,9.78,AL,FED,8,2.280339484046726
3798,Cyclicfeeding_starving,8,P3_1,8.8,AL,FED,8,2.174751721484161
3799,Cyclicfeeding_starving,8,P3_2,12.25,AL,FED,8,2.505525936990736
3800,Cyclicfeeding_starving,8,P3_3,17.97,AL,FED,8,2.8887037007954675
3801,Cyclicfeeding_starving,8,P3_4,14.02,AL,FED,8,2.640484881606444
3802,Cyclicfeeding_starving,8,P3_5,13.95,AL,FED,8,2.6354795082673745
3803,Cyclicfeeding_starving,8,P3_6,4.78,AL,FED,8,1.5644405465033646
3804,Cyclicfeeding_starving,8,P4_1,13.81,AL,FED,8,2.6253929674212007
3805,Cyclicfeeding_starving,8,P4_2,12.85,AL,FED,8,2.553343811341229
3806,Cyclicfeeding_starving,8,P4_3,13.51,AL,FED,8,2.6034301519721073
3807,Cyclicfeeding_starving,8,P4_4,14.59,AL,FED,8,2.6803363625346943
3808,Cyclicfeeding_starving,8,P4_5,13.38,AL,FED,8,2.5937610547000824
3809,Cyclicfeeding_starving,8,P4_6,12.34,AL,FED,8,2.5128460184772416
3810,Cyclicfeeding_starving,8,P5_1,12.86,AL,FED,8,2.554121718809473
3811,Cyclicfeeding_starving,8,P5_2,10.71,AL,FED,8,2.3711778844596574
3812,Cyclicfeeding_starving,8,P5_3,19.09,AL,FED,8,2.949164637737656
3813,Cyclicfeeding_starving,8,P5_4,15.53,AL,FED,8,2.7427736371605955
3814,Cyclicfeeding_starving,8,P5_5,18.32,AL,FED,8,2.9079933592459843
3815,Cyclicfeeding_starving,8,P5_6,12.23,AL,FED,8,2.503891949699081
3816,Cyclicfeeding_starving,8,P6_1,12.31,AL,FED,8,2.510411940196362
3817,Cyclicfeeding_starving,8,P6_2,10.24,AL,FED,8,2.3263016196113617
3818,Cyclicfeeding_starving,8,P6_3,15.82,AL,FED,8,2.761274962339508
3819,Cyclicfeeding_starving,8,P6_4,8.44,AL,FED,8,2.1329823086078656
3820,Cyclicfeeding_starving,8,P6_5,12.17,AL,FED,8,2.498973906999436
3821,Cyclicfeeding_starving,8,P6_6,12.53,AL,FED,8,2.528125768907977
3822,Cyclicfeeding_starving,8,P7_1,10.56,AL,FED,8,2.3570732782781154
3823,Cyclicfeeding_starving,8,P7_2,8.2,AL,FED,8,2.1041341542702074
3824,Cyclicfeeding_starving,8,P7_3,16.22,AL,FED,8,2.7862450486872667
3825,Cyclicfeeding_starving,8,P7_4,8.94,AL,FED,8,2.190535589185423
3826,Cyclicfeeding_starving,8,P7_5,13.33,AL,FED,8,2.5900171341906173
3827,Cyclicfeeding_starving,8,P7_6,13.28,AL,FED,8,2.5862591440482876
3828,Cyclicfeeding_starving,8,P8_1,10.39,AL,FED,8,2.340843805111136
3829,Cyclicfeeding_starving,8,P8_2,16.38,AL,FED,8,2.7960610784249234
3830,Cyclicfeeding_starving,8,P8_3,9.78,AL,FED,8,2.280339484046726
