,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3366,Cyclicfeeding_starving,0,P10_1,1.3,RES,FED,0,0.26236426446749106
3367,Cyclicfeeding_starving,0,P10_2,0.78,RES,FED,0,-0.2484613592984996
3368,Cyclicfeeding_starving,0,P10_3,0.96,RES,FED,0,-0.040821994520255166
3369,Cyclicfeeding_starving,0,P10_4,0.83,RES,FED,0,-0.18632957819149348
3370,Cyclicfeeding_starving,0,P10_5,1.12,RES,FED,0,0.11332868530700327
3371,Cyclicfeeding_starving,0,P10_6,1.11,RES,FED,0,0.10436001532424286
3372,Cyclicfeeding_starving,0,P11_1,0.79,RES,FED,0,-0.23572233352106983
3373,Cyclicfeeding_starving,0,P11_2,1.22,RES,FED,0,0.19885085874516517
3374,Cyclicfeeding_starving,0,P11_3,1.26,RES,FED,0,0.23111172096338664
3375,Cyclicfeeding_starving,0,P11_4,1.31,RES,FED,0,0.2700271372130602
3376,Cyclicfeeding_starving,0,P11_5,1.57,RES,FED,0,0.45107561936021673
3377,Cyclicfeeding_starving,0,P11_6,1.78,RES,FED,0,0.5766133643039938
3378,Cyclicfeeding_starving,0,P12_1,0.91,RES,FED,0,-0.09431067947124129
3379,Cyclicfeeding_starving,0,P12_2,0.9,RES,FED,0,-0.10536051565782628
3380,Cyclicfeeding_starving,0,P12_3,1.31,RES,FED,0,0.2700271372130602
3381,Cyclicfeeding_starving,0,P12_4,1.2,RES,FED,0,0.1823215567939546
3382,Cyclicfeeding_starving,0,P12_5,1.4,RES,FED,0,0.3364722366212129
3383,Cyclicfeeding_starving,0,P12_6,1.05,RES,FED,0,0.04879016416943205
3384,Cyclicfeeding_starving,0,P13_1,1.01,RES,FED,0,0.009950330853168092
3385,Cyclicfeeding_starving,0,P13_2,1.17,RES,FED,0,0.1570037488096647
3386,Cyclicfeeding_starving,0,P13_3,1.03,RES,FED,0,0.02955880224154443
3387,Cyclicfeeding_starving,0,P13_4,1.16,RES,FED,0,0.14842000511827322
3388,Cyclicfeeding_starving,0,P13_5,1.36,RES,FED,0,0.3074846997479607
3389,Cyclicfeeding_starving,0,P13_6,1.08,RES,FED,0,0.0769610411361284
3390,Cyclicfeeding_starving,0,P14_1,0.78,RES,FED,0,-0.2484613592984996
3391,Cyclicfeeding_starving,0,P14_2,1.03,RES,FED,0,0.02955880224154443
3392,Cyclicfeeding_starving,0,P14_3,1.06,RES,FED,0,0.058268908123975824
3393,Cyclicfeeding_starving,0,P14_4,1.74,RES,FED,0,0.5538851132264376
3394,Cyclicfeeding_starving,0,P14_5,1.22,RES,FED,0,0.19885085874516517
3395,Cyclicfeeding_starving,0,P14_6,1.03,RES,FED,0,0.02955880224154443
3396,Cyclicfeeding_starving,0,P15_1,1.04,RES,FED,0,0.03922071315328133
3397,Cyclicfeeding_starving,0,P15_2,1.02,RES,FED,0,0.01980262729617973
3398,Cyclicfeeding_starving,0,P15_3,1.4,RES,FED,0,0.3364722366212129
3399,Cyclicfeeding_starving,0,P15_4,0.83,RES,FED,0,-0.18632957819149348
3400,Cyclicfeeding_starving,0,P15_5,1.14,RES,FED,0,0.131028262406404
3401,Cyclicfeeding_starving,0,P15_6,1.3,RES,FED,0,0.26236426446749106
3402,Cyclicfeeding_starving,0,P16_1,0.86,RES,FED,0,-0.15082288973458366
3403,Cyclicfeeding_starving,0,P16_2,1.05,RES,FED,0,0.04879016416943205
3404,Cyclicfeeding_starving,0,P16_3,1.39,RES,FED,0,0.3293037471426003
3405,Cyclicfeeding_starving,0,P16_4,0.84,RES,FED,0,-0.1743533871447778
3406,Cyclicfeeding_starving,0,P16_5,1.29,RES,FED,0,0.25464221837358075
