experiment;individual;day;mm2;cellsizemedian;cellnumber;G1;S;G2M;cellnumber_corr
shrinkage_new;S_1_01;1;6,231;56414;121553,2;90,2;3,51;6,24;301080,3689
shrinkage_new;S_1_02;1;4,763;56758;114293,7;88,8;4,27;6,91;289364,7059
shrinkage_new;S_1_03;1;3,453;58221;67938,4;86;6,28;7,71;135796,3292
shrinkage_new;S_1_04;1;3,897;59856;183935,5;84,5;6,75;8,66;328172,6619
shrinkage_new;S_1_05;1;3,288;53144;140130,3;88,5;4,14;7,36;274408,3527
shrinkage_new;S_1_06;1;3,681;49702;127920,7;89,1;4,15;6,71;275725,3886
shrinkage_new;S_1_07;1;4,476;52886;100496,7;90,6;3,23;6,19;390353,6977
shrinkage_new;S_1_08;1;5,348;59425;136558,8;88,9;4,11;6,96;221575,8755
shrinkage_new;S_1_09;1;8,027;60888;269101,4;90,8;3,77;5,41;576740,7407
shrinkage_new;S_1_10;1;5,046;60544;137002,4;87,3;5,57;7,08;278054,1872
shrinkage_new;S_1_11;1;4,367;58909;216985;86,8;5,66;7,52;454392,1569
shrinkage_new;S_1_12;1;3,006;60372;199050;87,2;4,91;7,85;392861,8421
shrinkage_new;S_1_13;1;4,03;53488;133164,4;90,9;3,44;5,67;241820,0409
shrinkage_new;S_1_14;1;2,023;53660;270862,8;84,4;6,36;9,21;421445,7831
shrinkage_new;S_1_15;1;2,586;57963;260995,7;86,9;5,67;7,39;423831,283
shrinkage_new;S_1_16;1;5,211;52370;144316,6;86,4;5,07;8,47;214944,8685
shrinkage_new;S_1_17;1;7,52;63383;246478,6;87,1;5,1;7,81;732312,1387
shrinkage_new;S_1_18;1;2,214;52370;78321,1;80,7;8,24;10;143698,7071
shrinkage_new;S_1_19;1;3,827;58135;270205,8;89,9;3,46;6,63;335856,7775
shrinkage_new;S_1_20;1;3,857;58393;330026,7;88,9;3,44;7,61;385117,0047
shrinkage_new;S_1_21;1;4,192;47121;219958;84,6;6,6;8,76;145618,9152
shrinkage_new;S_1_22;1;5,594;68116;428750;87,8;4,99;7,18;443807,7634
shrinkage_new;S_1_23;1;5,182;63986;400695,4;87,5;4,69;7,78;593186,2745
shrinkage_new;S_1_24;1;3,627;61232;241840,1;90,3;3,65;5,97;445582,1918
shrinkage_new;S_2_01;2;5,279;57532;181919,8;89,6;4,2;6,22;406987,1795
shrinkage_new;S_2_02;2;2,882;51337;85007,2;89,7;3,68;6,56;219017,6089
shrinkage_new;S_2_03;2;4,346;54693;114646,6;88,8;3,98;7,22;324450
shrinkage_new;S_2_04;2;5,236;59167;183656,1;90,2;3,69;6,13;544282,6552
shrinkage_new;S_2_05;2;6,881;54693;171194,4;91,7;2,79;5,5;343342,6184
shrinkage_new;S_2_06;2;5,44;60802;269077,9;87,7;4,55;7,73;489050,2793
shrinkage_new;S_2_07;2;3,408;50735;113912,2;90,9;3,11;5,99;403310,8108
shrinkage_new;S_2_08;2;4,772;53058;184858;90,9;3,38;5,73;288669,9507
shrinkage_new;S_2_09;2;5,139;53746;75031,6;92,5;2,19;5,24;419434,629
shrinkage_new;S_2_10;2;4,089;53833;54362;91,8;3,2;4,9;309198,3122
shrinkage_new;S_2_11;2;4,412;48068;201636;90,1;4,24;5,63;367470,6868
shrinkage_new;S_2_12;2;4,537;57618;196258,3;91,4;2,54;6,03;665955,0562
shrinkage_new;S_2_13;2;7,079;56328;112911,4;91,4;3,98;4,58;424761,9048
shrinkage_new;S_2_14;2;4,511;58393;132825,7;90,8;3,52;5,66;479421,3382
shrinkage_new;S_2_15;2;3,727;53574;81915,6;90,7;3,84;5,39;282359,9523
shrinkage_new;S_2_16;2;6,316;55726;99690,6;91,6;3,55;4,79;355872,093
shrinkage_new;S_2_17;2;4,697;46089;65975,5;92,6;2,49;4,92;350177,5148
shrinkage_new;S_2_18;2;3,333;49014;68722,5;91,6;2,83;5,58;246915,8879
shrinkage_new;S_2_19;2;3,864;53316;112043;91,6;2,76;5,66;441837,4558
shrinkage_new;S_2_20;2;4,068;53919;90284,9;92,5;2,44;5,08;331398,6928
shrinkage_new;S_2_21;2;6,028;53316;161732,7;92,1;2;5,87;398414,6341
shrinkage_new;S_2_22;2;1,939;44282;72428,6;91,2;2,77;6,02;156944,8183
shrinkage_new;S_2_23;2;3,748;46519;159122;88,1;4,4;7,48;195305,9361
shrinkage_new;S_2_24;2;2,288;53488;147034,5;90,3;3,19;6,49;303127,9621
shrinkage_new;S_5_01;5;3,803;37828;35764,6;93,4;2,2;4,39;171452,7027
shrinkage_new;S_5_02;5;3,474;43765;61106,3;93,7;2,26;4,02;277973,8562
shrinkage_new;S_5_03;5;3,431;40238;74511,9;93,9;2;4,1;252706,9351
shrinkage_new;S_5_04;5;3,957;36796;41976,7;89,3;4,62;6,04;195541,6667
shrinkage_new;S_5_05;5;2,213;36710;31776;89,7;4;6,27;79497,17804
shrinkage_new;S_5_06;5;4,079;37054;73046,2;93,4;2,66;3,94;183482,8496
shrinkage_new;S_5_07;5;3,416;37484;72570;91,9;2,67;5,41;171989,5288
shrinkage_new;S_5_08;5;3,851;41872;50110,9;92,8;2,38;4,77;113312,4347
shrinkage_new;S_5_09;5;3,522;41012;39618,7;92,4;2,32;5,32;140524,0913
shrinkage_new;S_5_10;5;4,195;45830;51192,3;92,7;2,47;4,83;234713,1609
shrinkage_new;S_5_11;5;5,045;42130;75091;93,3;2,5;4,16;147214,7865
shrinkage_new;S_5_12;5;3,603;43679;43938,9;92,3;2,82;4,85;191993,1565
